,PC1,PC2,PC3,PC4,PC5
Methanol,-8.72651,-5.31265,1.25112,-1.85931,-0.620266
"Ethylene Glycol [1,2-Ethanediol]",-10.7101,-1.88606,4.37327,1.45192,-1.03437
"1,1,1,3,3,3-Hexafluoropropan-2-ol",-7.26762,-8.20768,11.9645,-1.99806,-0.023481
2-Methyltetrahydrofuran [2-MeTHF],2.05009,2.48903,-4.41974,2.44756,-10.5634
Cyclohexane,5.47872,-5.68202,-0.565812,-2.17757,-0.638723
IPA [Propan-2-ol],-5.26444,-2.31088,0.99332,-2.39862,-1.19069
Water.Acetonitrile,-12.129124,-7.183092,2.0238019999999994,-0.045986600000000016,2.0821388
Acetonitrile,-4.65106,-4.74864,-3.28165,-0.304043,4.2989
Acetonitrile.Acetic Acid,-6.28498,-4.785435,0.6643750000000002,-0.39371900000000004,1.7281505
Diethyl Ether [Ether],0.74113,-2.09667,-2.27144,-3.98644,-0.843687
"2,2,2-Trifluoroethanol",-6.72189,-6.73863,5.76113,0.904505,0.809133
"Water.2,2,2-Trifluoroethanol",-12.957455999999999,-7.979088000000001,5.6409139999999995,0.4374326,0.686232
"DMA [N,N-Dimethylacetamide]",-4.29237,3.02392,-3.37915,0.545871,0.145789
Decanol,-1.71547,0.0633819,3.42011,-0.979458,-0.868482
Ethanol,-6.8371,-3.676,1.11638,-2.0345,-0.948893
THF [Tetrahydrofuran],-1.51934,-1.85536,-3.24116,-1.75699,-1.23666
Dihydrolevoglucosenone (Cyrene),-14.1574,15.4967,-3.0099,4.36439,2.3627
Ethyl Acetate,-0.649342,-1.50367,-2.24681,-2.20261,1.0132
MTBE [tert-Butylmethylether],0.922674,-1.18203,-2.01444,-2.98548,-0.762469
Butanone [MEK],-1.47901,-1.118,-3.00926,-1.40615,0.410937
tert-Butanol [2-Methylpropan-2-ol],-3.74469,-1.25846,1.14292,-2.39924,-1.15615
Dimethyl Carbonate,-0.567427,-2.58546,-1.60665,-2.29901,1.54198
Methyl Propionate,-0.740185,-1.83783,-1.9521,-2.04831,1.17614
Ethyl Lactate,-1.7406,0.8075,-0.364763,-0.350021,1.82471
