Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,72,0.0
1,,,69,0.0
2,,,74,0.0
3,,,73,0.0
4,,,6,0.0
6,0.05526778966117298,-3.914426670945235,62,1.0
7,0.05304597651607454,-4.034094711872889,42,2.0
8,0.05037630679706092,-3.693931186473317,55,3.0
9,0.045352017527674274,-4.072050415074593,64,4.0
10,0.043694920719978145,-4.1883895783340614,28,5.0
11,0.04766556642050473,-4.818995037392492,46,6.0
12,0.03678407343799163,-0.685547422980133,13,7.0
13,0.03713754331754929,-1.33624395839833,4,8.0
14,0.03429300451010679,-1.834216895477706,37,9.0
15,0.028915959415802238,1.0013484349746673,5,10.0
16,0.026380983656754686,-5.731674077335856,18,11.0
17,0.02085362688117047,-6.280942931973577,9,12.0
18,0.023224320346458365,-6.087819711425979,33,13.0
19,0.023652423246223093,-6.172049404627247,60,14.0
20,0.017919322931104837,-4.782124464387245,24,15.0
21,0.01748405434176601,-4.972047802497643,51,16.0
22,0.018128438804821748,-5.915699003331885,71,17.0
23,0.01623692319528673,-4.330712927680334,7,18.0
24,0.01865758472920048,-5.368779955801125,38,19.0
25,0.014736817881373248,-2.8808031690614984,14,20.0
26,0.017024444590284536,-5.071148333319953,47,21.0
27,0.012305030729436051,-4.4888191885224575,29,22.0
28,0.011724565922026467,-2.7027202976219042,56,23.0
29,0.011512403404384725,-2.702987444100065,58,24.0
30,0.01068033574212762,-0.7851518148104367,0,25.0
31,0.012079610895085463,-4.596461570239132,65,26.0
32,0.009510683622322783,-2.6620977609054264,49,27.0
33,0.008134490741293297,-2.7091248875639775,16,28.0
34,0.006894483449821515,-4.671089636569238,40,29.0
35,0.006531534284364854,-6.058183708510906,31,30.0
36,0.008957162126312207,-4.739105001283461,53,31.0
37,0.0077610196354289986,-6.445390485911058,2,32.0
38,0.005556439149421397,-5.381223766952862,44,33.0
39,0.0058867588411476756,-5.836102474270696,11,34.0
40,0.008339041870902666,-2.64736526920034,35,35.0
41,0.006678571536013477,-1.3182227880219153,26,36.0
42,0.006011785401210378,-3.9622313157938303,75,37.0
43,0.006671597813833502,-2.6247960705043796,77,38.0
44,0.00673093586362285,-5.579239083997439,67,39.0
45,0.005192430355909189,-4.761745298332611,63,40.0
46,0.004932617539892226,-2.9748081070032564,21,41.0
47,0.0055426317106519,-4.332945434771187,81,42.0
48,0.003046955808853403,-3.9725693370978763,86,43.0
49,0.0029053303219452363,2.3936940644108247,83,44.0
50,0.0032051454085064044,1.889077619093807,85,45.0
51,0.0027694194225290954,0.1066746020513262,79,46.0
52,0.0026523127337526884,-0.4617514059845103,84,47.0
53,0.002714189873503763,-2.6004405651544946,80,48.0
54,0.002555454411182488,-2.5144916816728613,82,49.0
55,0.002565075302073368,-3.3191146007621124,70,50.0
56,0.0026236899402730675,-3.059359321624138,22,51.0
57,0.0023487795043068594,-5.84737603857383,19,52.0
58,0.002356576640984695,-5.398431481929235,15,53.0
59,0.003881905578771207,-8.822122785405632,12,54.0
60,0.007172168075508354,-8.503126905924224,10,55.0
61,0.0050498439773349075,-8.281323953017187,17,56.0
62,0.003108294587836966,-8.513091126994384,43,57.0
63,0.004614580394229462,-8.667038335948003,61,58.0
64,0.0040058851847719415,-8.748684658114525,66,59.0
65,0.003774044071354817,-8.89236757368229,68,60.0
66,0.004162200498889571,-8.933339780112266,1,61.0
67,0.0035719442757771286,-9.215105558740392,30,62.0
68,0.0038149163822418894,-8.89680330203942,48,63.0
69,0.0040168367059358594,-8.79803188478341,45,64.0
70,0.0037247265189446336,-9.182851429060175,25,65.0
71,0.007202261953607046,-8.944631044303147,20,66.0
72,0.00669469913328556,-9.063415222187137,27,67.0
73,0.010468405487995151,-8.879246534471312,3,68.0
74,0.01036851578007455,-9.030754017705197,76,69.0
75,0.009524586753095865,-9.149696656515102,78,70.0
76,0.008204432419284789,-9.268774103280546,57,71.0
77,0.0056638218793176615,-9.243512355706665,52,72.0
78,0.007572401623869283,-9.13794485692743,39,73.0
79,0.0069392996008521965,-9.031524843749288,34,74.0
80,0.00689293662175122,-9.01211124794004,54,75.0
81,0.0070445754285613045,-9.481277893073598,36,76.0
82,0.006600403586600397,-9.359635069632263,50,77.0
83,0.006009152041730191,-9.570727774478362,23,78.0
84,0.005605081479053052,-9.754123115251057,32,79.0
85,0.0037059363504801457,-10.295295095743352,8,80.0
86,0.002158282887723011,-9.660557129864578,59,81.0
87,0.0012665445190204667,-9.673335595123072,41,82.0
