Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,72,0.0
1,,,69,0.0
2,,,74,0.0
3,,,73,0.0
4,,,6,0.0
6,0.05526778966117298,-3.914426670945235,48,1.0
7,0.05630297734500462,-4.007734169544054,15,2.0
8,0.05807585114733772,-3.2509778867165213,10,3.0
9,0.047298229575086885,-1.6905933120254917,28,4.0
10,0.04518361617010738,0.6026239641057061,43,5.0
11,0.03797017629003184,-3.236159076156136,84,6.0
12,0.036700038676906736,-4.501948376424966,82,7.0
13,0.03726575224887066,-4.429181848933596,63,8.0
14,0.04141437528773623,2.224372048085227,37,9.0
15,0.036390226245755636,-3.698037600295731,81,10.0
16,0.04182373085058305,-4.106806624406047,66,11.0
17,0.03159926943232114,-4.546948847217252,30,12.0
18,0.041320702949432325,-4.879056232022401,25,13.0
19,0.0371220421520574,-5.266149965658157,20,14.0
20,0.03506002559042247,-5.448501407988559,39,15.0
21,0.024017042871968593,-5.508716315371675,22,16.0
22,0.02013307617707207,-5.657133994340419,57,17.0
23,0.013132635412589204,-5.606300760070736,54,18.0
24,0.011277370791900946,-6.010375770787994,3,19.0
25,0.017114826089555224,-5.9398679241106604,76,20.0
26,0.009140601823521688,-6.079569935830279,34,21.0
27,0.010967870323834727,-6.202373828155724,85,22.0
28,0.010023998238628424,-6.3216111160551245,46,23.0
29,0.009103744810716333,-6.300068771865949,1,24.0
30,0.007967722405395289,-6.296209873629091,13,25.0
31,0.00669722379533611,-6.200406005377738,61,26.0
32,0.006335244223404801,-6.078644255181283,52,27.0
33,0.00980236540859895,-6.406137179932452,5,28.0
34,0.008293634281094437,-6.775160074951165,56,29.0
35,0.012283309482273179,-6.5008022419536555,19,30.0
36,0.013417798580204908,-6.519519413138269,67,31.0
37,0.011150858788146086,-6.628729930403467,40,32.0
38,0.00832509227094548,-6.862271501175099,35,33.0
39,0.007870895583496039,-6.8771184884391445,31,34.0
40,0.006900937625427236,-6.930611728514795,77,35.0
41,0.0068718513808436596,-6.979963724616245,26,36.0
42,0.0051062174179958885,-7.043004167826065,64,37.0
43,0.0051189576877206135,-7.160922208091452,49,38.0
44,0.005128471865144669,-7.33056613949599,17,39.0
45,0.005528982356555731,-7.4544460260626,45,40.0
46,0.005483997698961901,-7.523335253740369,58,41.0
47,0.008791488559823325,-7.51313205691008,11,42.0
48,0.003692846897504363,-7.862881243581652,7,43.0
49,0.005078118306785328,-7.934185582554245,70,44.0
50,0.0035956371733773585,-8.039478963500633,21,45.0
51,0.003709909118719508,-8.099782351941633,53,46.0
52,0.004435443673436671,-8.047718061211828,2,47.0
53,0.0036694600306660403,-7.7690060012875035,60,48.0
54,0.003653277966846142,-8.005033862105474,80,49.0
55,0.0036325831825269822,-7.80747194737315,75,50.0
56,0.005161295155842278,-8.2792066622414,42,51.0
57,0.0030912030263431636,-7.880821788911693,65,52.0
58,0.002807798659785231,-7.907057744848778,83,53.0
59,0.006906322193525541,-8.192175685899487,38,54.0
60,0.005502907848901853,-8.734190840108518,29,55.0
61,0.00369486595630697,-8.76764511914806,50,56.0
62,0.002091969965111228,-8.133263695009783,9,57.0
63,0.0020243740303981747,-8.45828036539917,24,58.0
64,0.0019409384922101304,-7.67186633460806,33,59.0
65,0.0020458056031281554,-8.612524960214753,4,60.0
66,0.0018870499142556337,-8.76921193347293,55,61.0
67,0.0041684172323102646,-8.79079698010842,14,62.0
68,0.003960315422058687,-8.832422237237035,12,63.0
69,0.003959447287409307,-8.772766837223699,47,64.0
70,0.003839385382952963,-9.121782054252115,36,65.0
71,0.003866207786809668,-8.889165308168804,23,66.0
72,0.0035117714957252607,-9.235917782750626,79,67.0
73,0.0031904231946636814,-9.340178679608998,51,68.0
74,0.0035331773514548004,-9.224356870548933,27,69.0
75,0.0031786756470923824,-9.401630690541268,59,70.0
76,0.004816190539554589,-9.161989590126508,78,71.0
77,0.00400641901658233,-9.199074892580537,68,72.0
78,0.003019381411294693,-9.336325249778977,8,73.0
79,0.002187228206151062,-9.207985408776718,0,74.0
80,0.0019449149384879222,-9.523357385150618,16,75.0
81,0.0026407250986714356,-9.566650455344893,18,76.0
82,0.0017524036617257582,-9.508388447615063,32,77.0
83,0.0018590852894931143,-9.84877480617626,41,78.0
84,0.000991445076584803,-9.78716437918023,44,79.0
85,0.0007245658032031966,-9.869615781877846,62,80.0
86,0.0005331431167363924,-9.9373525809284,71,81.0
87,0.0002771507302206778,-9.984931868116213,86,82.0
