Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,72,0.0
1,,,69,0.0
2,,,74,0.0
3,,,73,0.0
4,,,6,0.0
6,0.05526778966117298,-3.914426670945235,19,1.0
7,0.05735017659725194,-4.14308425199187,21,2.0
8,0.05189115065328005,-3.1207340936317545,41,3.0
9,0.04938321133635432,-4.331635723466486,78,4.0
10,0.05107331343672985,-2.2183102851945993,53,5.0
11,0.04974879197983701,-4.543521123577859,22,6.0
12,0.04905107646235051,-4.582591886952855,11,7.0
13,0.04653182749648237,-4.720993345736954,79,8.0
14,0.04514485291745012,-4.825606099261734,50,9.0
15,0.045111772118041675,-5.153758464924356,45,10.0
16,0.04210864895644661,-5.257525422928631,12,11.0
17,0.039449000918926384,-5.24934688770405,31,12.0
18,0.0390384958625383,-5.038765667027382,47,13.0
19,0.035638519393457704,-5.455927776206108,38,14.0
20,0.03658170126586389,-5.525566210060525,46,15.0
21,0.03502617766486272,-5.677879426595142,4,16.0
22,0.032880204689376934,-5.869058437202672,1,17.0
23,0.03411005649716521,-5.927102047802384,7,18.0
24,0.03332928260108987,-6.095311125115731,57,19.0
25,0.030108370210305775,-5.8359429095558335,20,20.0
26,0.027568502976482338,-5.876217333019344,61,21.0
27,0.02637414703758269,-6.017455054200241,8,22.0
28,0.025526902778714094,-6.0623118087232575,18,23.0
29,0.02504569631564243,-5.882291278572473,83,24.0
30,0.02382632182024799,-5.972229632609343,60,25.0
31,0.024613059725742067,-6.090735087505393,71,26.0
32,0.023578476108441816,-6.137347603666381,70,27.0
33,0.026574944565222178,-6.057520086517434,52,28.0
34,0.026791563567706123,-5.771014732311894,51,29.0
35,0.026362015473382374,-5.759487473850336,48,30.0
36,0.026968086900516258,-5.74297491333942,36,31.0
37,0.023536687621528878,-5.921031432057649,76,32.0
38,0.021975496513533865,-6.007807620576999,29,33.0
39,0.02065131252744404,-6.44858929746253,63,34.0
40,0.02006710151509623,-6.5012344988130195,77,35.0
41,0.019997794622552183,-6.432393142902941,25,36.0
42,0.016660908552246483,-6.618996065348764,64,37.0
43,0.011527430429692379,-6.619711647354306,39,38.0
44,0.013042361507804887,-6.382328553552128,24,39.0
45,0.013671564541870244,-6.53239864644449,17,40.0
46,0.009210949176726628,-6.757986345594955,82,41.0
47,0.010274652395084431,-7.37846246307145,13,42.0
48,0.006855824314595645,-7.079119620752552,56,43.0
49,0.015398663099254625,-7.319157744465217,58,44.0
50,0.010401905292338101,-7.219743256926567,15,45.0
51,0.013334055759360964,-7.357321069002393,30,46.0
52,0.011388405869948756,-7.328296769242623,44,47.0
53,0.01180845883308176,-7.563407251778999,3,48.0
54,0.011748885955014833,-7.660540227976714,75,49.0
55,0.011533349480033617,-7.549706386232896,37,50.0
56,0.013068658845546586,-7.8154137773618295,80,51.0
57,0.014958761672846009,-7.7838676497232715,2,52.0
58,0.015129837116172162,-7.861347892687766,86,53.0
59,0.015379371410051726,-7.903703659636967,68,54.0
60,0.013592611633072425,-8.060714335752355,55,55.0
61,0.013741903509180765,-8.015525977275749,62,56.0
62,0.013480782771312962,-8.052872827204457,32,57.0
63,0.012274679043306286,-8.352115158569651,66,58.0
64,0.01008904732113568,-8.20252510678827,84,59.0
65,0.010256403870844918,-8.573452222796945,23,60.0
66,0.0100763912829745,-8.98916776916618,28,61.0
67,0.009714628876957745,-8.97478511409743,40,62.0
68,0.009504683527505569,-8.815326195262037,27,63.0
69,0.008124696765752839,-9.107713284883253,65,64.0
70,0.008388835821965712,-8.960798851169566,14,65.0
71,0.007996367749734966,-9.094335742933845,34,66.0
72,0.006101380814069517,-8.877677445035756,26,67.0
73,0.005427425164716103,-9.33814149583472,33,68.0
74,0.004926604779804863,-9.378961320802127,43,69.0
75,0.003546432278000378,-9.528344321539384,67,70.0
76,0.0034663097562847908,-9.571272640377261,16,71.0
77,0.0033819090128755273,-9.622644458036342,59,72.0
78,0.0025020338181843318,-9.722916365285377,81,73.0
79,0.002109970361344393,-9.779701097071925,54,74.0
80,0.0019821121426874823,-10.151411651477162,35,75.0
81,0.0018638053424337648,-9.559746873426388,5,76.0
82,0.0016901943389407204,-9.193360890686705,49,77.0
83,0.001513182134061347,-9.758113711547281,9,78.0
84,0.0013163947852558317,-10.340544244777135,42,79.0
85,0.0010895755868170795,-9.880683517266668,0,80.0
86,0.0007773387101086779,-10.300439061457562,85,81.0
87,0.0006476947244111354,-10.36267979692306,10,82.0
