Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,34,0.0
1,,,20,0.0
2,,,47,0.0
3,,,41,0.0
4,,,71,0.0
6,0.0720909491139792,-1.7303120828565397,62,1.0
7,0.07360417498718097,-1.5565747142914523,42,2.0
8,0.0765204989156498,-1.3292271756911664,69,3.0
9,0.07782344380893899,-1.1437930231652667,18,4.0
10,0.07551121429198142,-1.0907789939398032,9,5.0
11,0.07632436903791202,-1.9667529252848632,33,6.0
12,0.07217131871703929,-2.1894160291235836,60,7.0
13,0.07241975616486473,-2.1499792642995277,24,8.0
14,0.08298801121787446,-1.5348557043299844,51,9.0
15,0.07945496146336382,-1.642440233713099,7,10.0
16,0.06295340391290334,-4.244891566830271,5,11.0
17,0.04412352052419697,-4.47949418843292,29,12.0
18,0.01772103876916987,-4.701028326477085,38,13.0
19,0.01637375886043075,-5.969053236417408,14,14.0
20,0.017280912026473635,-6.352235747645676,56,15.0
21,0.013808771247186402,-6.118174636265571,0,16.0
22,0.01745087291984461,-6.444249509569835,58,17.0
23,0.015313256115264538,-6.539173013680886,65,18.0
24,0.015838045811785318,-6.255353644716135,49,19.0
25,0.0110109672443183,-6.573830635092777,16,20.0
26,0.01015531641255874,-6.786177257894176,40,21.0
27,0.012287378478791876,-5.735868698843836,31,22.0
28,0.011943538109794717,-4.769541463161937,53,23.0
29,0.011479270840160757,-6.093816600716556,2,24.0
30,0.011594926764106778,-6.087385607544456,44,25.0
31,0.010554112875531587,-6.180388779497712,11,26.0
32,0.009718223121955818,-6.605523418952492,35,27.0
33,0.011921058726761635,-6.207779829008724,26,28.0
34,0.011422727601998112,-6.543551225794001,75,29.0
35,0.01054065457844914,-6.442502567175787,77,30.0
36,0.009250573054098916,-6.415030519875655,67,31.0
37,0.0067521241210162595,-7.341144628557941,63,32.0
38,0.008057458508790912,-7.206330843366848,73,33.0
39,0.007091540528438183,-6.900150139600021,74,34.0
40,0.00849335633229439,-6.944022142567355,55,35.0
41,0.008262567139736611,-6.868520617528436,28,36.0
42,0.00837069941915885,-7.698106066744978,46,37.0
43,0.006194767654871295,-6.097846811407703,64,38.0
44,0.007171762005478351,-6.5739137495258495,13,39.0
45,0.007917243877421591,-7.403676203113851,4,40.0
46,0.004997353358738213,-7.709508828744611,37,41.0
47,0.007917294487375024,-7.709623779810286,21,42.0
48,0.012640320687788049,-7.6392973796507135,81,43.0
49,0.014390366268598416,-7.335006255588681,86,44.0
50,0.01448443841621782,-7.335149542752818,70,45.0
51,0.014322191110864172,-7.52267950989567,22,46.0
52,0.011013337474821593,-7.8144600266288125,83,47.0
53,0.011365754316174728,-7.863697690648619,85,48.0
54,0.011356067027958466,-7.871533755694754,79,49.0
55,0.011186512860481711,-8.013758093942439,84,50.0
56,0.01113384511146196,-7.971042100847605,80,51.0
57,0.012271091298551499,-8.052208635214448,82,52.0
58,0.004071334824098107,-8.359340478609333,72,53.0
59,0.011843809115951865,-7.9420520614206245,19,54.0
60,0.00526046781403969,-8.881049857275498,6,55.0
61,0.00942326187488273,-8.352079739541331,1,56.0
62,0.007858637877612722,-8.982354670929444,15,57.0
63,0.007379271029129733,-8.708939473287336,10,58.0
64,0.007067403096978277,-8.174488956639566,12,59.0
65,0.0072251690181673895,-7.944365221665131,17,60.0
66,0.006068499860934862,-7.867445170574767,30,61.0
67,0.005563133564216937,-8.012146647723535,25,62.0
68,0.004777529487420326,-8.231646349896067,57,63.0
69,0.006311382812567057,-7.900542978211684,3,64.0
70,0.0065490684226158615,-7.997838070175818,27,65.0
71,0.0065208439733231835,-8.132890152722617,52,66.0
72,0.006557701616252734,-8.0373902098696,54,67.0
73,0.0066280229477484465,-7.969744587294064,76,68.0
74,0.0059958458754288185,-8.221289416060085,78,69.0
75,0.0050929051098659636,-8.337887185018824,61,70.0
76,0.005167048758512142,-8.42426331962859,66,71.0
77,0.004920149496489096,-8.605132336922576,68,72.0
78,0.004695719358498141,-8.78280377477143,48,73.0
79,0.0045619365271842485,-8.453319090651211,43,74.0
80,0.004037921966018229,-8.88094827224658,45,75.0
81,0.004305248933463061,-9.412026731848242,23,76.0
82,0.005440563404929406,-8.456340390566549,39,77.0
83,0.004539536769799189,-9.122457585768668,36,78.0
84,0.0048225816736650684,-8.804281013088998,8,79.0
85,0.003560521552286105,-8.572995266891715,32,80.0
86,0.0016570111203011997,-8.743047790648843,59,81.0
87,0.0006843021460445275,-8.8678784860733,50,82.0
