Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,29,0.0
1,,,36,0.0
2,,,82,0.0
3,,,44,0.0
4,,,45,0.0
6,0.09355916382476613,-2.6770468250989845,20,1.0
7,0.10021705285242527,-1.9460864211683129,22,2.0
8,0.0702815144532218,-4.093333342666579,39,3.0
9,0.046206041563123745,-4.941362540215969,12,4.0
10,0.034778590865360545,-5.295930669357575,15,5.0
11,0.035525937930746945,-5.096026936986803,57,6.0
12,0.02412746643723458,-5.443825673808347,27,7.0
13,0.030742695008353842,-5.179229574415461,72,8.0
14,0.023825442087319758,-5.586431093314124,73,9.0
15,0.022178054305593598,-5.453611999724731,54,10.0
16,0.02650343093551387,-5.626185380677953,30,11.0
17,0.023481438169045663,-6.0344953226115905,76,12.0
18,0.01840504280915884,-6.267785407569086,84,13.0
19,0.01748345348476252,-5.974614687221621,66,14.0
20,0.014584586919178175,-6.569885756110662,3,15.0
21,0.010282774664123053,-6.828075982528064,81,16.0
22,0.013316729210074624,-6.858353464518655,6,17.0
23,0.007813086271509428,-6.361346191433406,63,18.0
24,0.006201955598830874,-7.222679952403467,48,19.0
25,0.006519213433302121,-7.059482169824441,34,20.0
26,0.005871521662212431,-7.2885595752020595,25,21.0
27,0.005850159926767321,-7.6702079502824505,10,22.0
28,0.005903733210049217,-7.090716529037075,83,23.0
29,0.005284185779717796,-7.35708996180216,61,24.0
30,0.006271543187536858,-7.2234106985470135,47,25.0
31,0.007070355534721532,-7.339161411174675,1,26.0
32,0.004887674577702487,-6.992089120504504,52,27.0
33,0.004610822167847632,-6.694700204820101,70,28.0
34,0.004271411440630923,-7.189521556109352,37,29.0
35,0.004490598067512853,-7.297261276477548,5,30.0
36,0.006531428755628286,-7.446897791247237,19,31.0
37,0.00750903730452596,-7.425725058178397,65,32.0
38,0.0057989850991577154,-7.6564138146945915,56,33.0
39,0.006805706034618178,-7.53470962229535,75,34.0
40,0.004634440318372194,-7.587397796838195,17,35.0
41,0.007752982640193461,-7.590772187245547,40,36.0
42,0.008292080819117724,-7.664170559689008,43,37.0
43,0.007172530804739462,-7.652564107353807,49,38.0
44,0.006145968738207579,-7.83782117892455,68,39.0
45,0.007156062723862304,-8.06672475382459,78,40.0
46,0.007450563549989398,-8.052672384753679,59,41.0
47,0.0054389134993740205,-8.157469804870567,8,42.0
48,0.007053587166978532,-7.8916457936587,31,43.0
49,0.006529829753631432,-7.953443965801896,13,44.0
50,0.005684875885404371,-8.0422400977727,85,45.0
51,0.006056676662025237,-8.000988610452865,80,46.0
52,0.005717990718700567,-8.06266367390224,21,47.0
53,0.006797602062249646,-8.023015076860883,33,48.0
54,0.00521672459889173,-8.17495150015079,62,49.0
55,0.004833402513007454,-8.234303435968378,71,50.0
56,0.00546761261614237,-8.28838700463185,53,51.0
57,0.005472889826279849,-8.296719726521422,2,52.0
58,0.005464287327636916,-8.313796308183427,26,53.0
59,0.0049982264009330105,-8.365590500867293,41,54.0
60,0.004788616457853652,-8.328953355152986,64,55.0
61,0.004352575984966027,-8.308455013593475,55,56.0
62,0.004153496635132674,-8.423598158691446,4,57.0
63,0.004844891343459529,-8.565960202332937,74,58.0
64,0.004572243755929283,-8.658804601856872,16,59.0
65,0.003864783537502003,-9.125104619813792,28,60.0
66,0.004683853154477742,-8.657924901198085,11,61.0
67,0.0045029349146847465,-8.703693432798637,46,62.0
68,0.004456622569279282,-8.705694519218815,38,63.0
69,0.004290844758777417,-8.726254641943754,32,64.0
70,0.003287380897904301,-9.254939452276343,23,65.0
71,0.0031352252619179107,-8.977122886264276,50,66.0
72,0.0028094557431904317,-9.55208976085892,24,67.0
73,0.002632210761689667,-9.121621464835684,0,68.0
74,0.002298417416915834,-9.657988944011342,7,69.0
75,0.002119953804069317,-9.657210100051476,9,70.0
76,0.001996264694191589,-9.618080164817576,14,71.0
77,0.0019308342492762812,-9.258271476727343,18,72.0
78,0.0016499230460842854,-9.565157346700277,35,73.0
79,0.0014661173682923585,-9.340134646036523,42,74.0
80,0.0012851177880512544,-9.585012492140187,51,75.0
81,0.0010554186628554192,-9.812357589475537,58,76.0
82,0.00094808117821866,-9.598684710123266,60,77.0
83,0.0007946734743372924,-9.519965697444091,67,78.0
84,0.0007023958948721704,-9.685574142716948,69,79.0
85,0.0004956288661969588,-9.565055178037964,77,80.0
86,0.000385738379843692,-9.781394318626537,79,81.0
87,0.00024656854865456223,-9.66553794495616,86,82.0
