Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,39,0.0
1,,,61,0.0
2,,,70,0.0
3,,,13,0.0
4,,,9,0.0
6,0.0616075027098858,-3.4055756386515306,44,1.0
7,0.06073925489665438,-3.562951281852555,21,2.0
8,0.059329063394458335,-3.4593536728886765,23,3.0
9,0.05133096513461575,-4.135116435520792,38,4.0
10,0.03253243312494559,-3.1487117182456266,45,5.0
11,0.03632395855053937,-2.194522215778579,54,6.0
12,0.035373992501669504,-0.6290283453030546,26,7.0
13,0.03409216008685297,-1.488820444157726,8,8.0
14,0.037892147737797505,-5.293770868510864,57,9.0
15,0.026212014323500527,-4.905808896072855,40,10.0
16,0.027959375738887005,-5.274344291313527,5,11.0
17,0.03193343124313428,-5.3166377211936355,53,12.0
18,0.027356433424217577,-4.915363647325447,18,13.0
19,0.020402807508202433,-4.284886329309628,82,14.0
20,0.011218456784623769,-2.893991544625852,64,15.0
21,0.013724859754753942,-3.622878740913517,74,16.0
22,0.014650405182932095,-5.524947615496908,68,17.0
23,0.02494347947941399,-6.00511137751774,25,18.0
24,0.023472253802966393,-6.2415872034587645,67,19.0
25,0.022510116739152975,-6.325106274413667,37,20.0
26,0.018042388716076184,-6.484281262725376,80,21.0
27,0.015672373667269316,-6.505893649057984,69,22.0
28,0.014254672178076714,-6.277456169212468,20,23.0
29,0.020958882383779135,-6.68127600489964,7,24.0
30,0.021444987676335927,-6.695571783437224,86,25.0
31,0.02064243263504164,-6.82072173428782,75,26.0
32,0.025152181025173734,-6.6681589467331355,84,27.0
33,0.00954973361876794,-4.535351558808813,34,28.0
34,0.022086804831379397,-7.103126006799347,52,29.0
35,0.021237351852747683,-6.968357886938504,10,30.0
36,0.008110217527381738,-4.555904063328324,85,31.0
37,0.012873709878493785,-6.561362370139889,55,32.0
38,0.013524954552219318,-7.015347555420181,47,33.0
39,0.020604782721497444,-6.679262469597706,3,34.0
40,0.020312397045757966,-6.79633877690511,49,35.0
41,0.020645165502213552,-6.807824653093118,41,36.0
42,0.022847864754393682,-6.870097768089563,79,37.0
43,0.022381527703631,-6.95924155931457,30,38.0
44,0.01134652907223245,-6.922207157883292,43,39.0
45,0.015950732408384426,-7.281675417493727,32,40.0
46,0.015971890333715186,-7.361029829873747,31,41.0
47,0.015010387347088615,-7.480765740987885,1,42.0
48,0.014686593144454335,-7.613230795503493,81,43.0
49,0.01536741536247908,-7.572234480602891,83,44.0
50,0.014808375339215826,-7.6720370491674945,66,45.0
51,0.014552830279524007,-7.690567064732561,17,46.0
52,0.012249462192247042,-7.553189716497103,60,47.0
53,0.011196893889355913,-7.825388009078598,50,48.0
54,0.012034618077801195,-7.514889011546311,16,49.0
55,0.011201435393218896,-7.70698016602972,58,50.0
56,0.010196940167534082,-7.757801484095673,72,51.0
57,0.009098834512904984,-7.8591990939235785,24,52.0
58,0.009155209166199541,-7.755175563061388,51,53.0
59,0.008468806696509203,-7.862019038928091,14,54.0
60,0.00745769562817837,-8.06190211842884,22,55.0
61,0.007796723264790761,-8.12472718177194,48,56.0
62,0.007096981021454356,-8.381316657904533,4,57.0
63,0.007567179985716455,-7.967531754446272,15,58.0
64,0.007239538787410479,-8.126916636283214,56,59.0
65,0.007208564942981552,-8.347314600642223,12,60.0
66,0.006664010433677689,-8.446001274164104,73,61.0
67,0.007495057495110175,-7.513891373555295,63,62.0
68,0.007347522108284311,-7.562712307451416,71,63.0
69,0.007330133805595752,-7.563132799767999,46,64.0
70,0.007094523536964343,-7.62503336190182,42,65.0
71,0.0069104689225319635,-7.743259940791858,62,66.0
72,0.006781712659977441,-7.881850567529634,28,67.0
73,0.005517783652193761,-7.958794693843918,0,68.0
74,0.005441264321972956,-7.8173582016756304,76,69.0
75,0.004721859247989179,-7.891897593787159,78,70.0
76,0.0037412440697252767,-8.016669336189002,6,71.0
77,0.003151226477767684,-8.132792097024998,29,72.0
78,0.003122742902280039,-8.16193865315964,35,73.0
79,0.0026984445398901607,-8.213644460179545,27,74.0
80,0.0023820657731827392,-8.320033859040503,36,75.0
81,0.0022105061685930958,-8.44453533060331,2,76.0
82,0.0020962130737231847,-8.65533035048031,65,77.0
83,0.0019401702097988052,-8.693336146229216,77,78.0
84,0.0017700176214017183,-8.634323452368351,11,79.0
85,0.0017479046741944047,-8.589666042615793,33,80.0
86,0.0013983025523735236,-8.642012821535292,19,81.0
87,0.0012228329802681068,-8.923726268759115,59,82.0
