Iteration,Number of data points,Best value,Point chosen
1,6,0.9510548872244087,
2,6,0.9510548872244087,
3,6,0.9759016357770758,
4,6,0.9759016357770758,
5,6,0.9759016357770758,
6,6,1.1334539402139736,
7,6,1.1334539402139736,
8,6,1.1334539402139736,
9,6,1.1334539402139736,
10,6,1.1334539402139736,
11,6,1.1334539402139736,
12,6,1.441391993940944,
13,6,2.235518486592328,
14,6,2.7696302399289845,
15,6,2.7696302399289845,
16,6,2.990059594873224,
17,6,2.990059594873224,
18,6,2.990059594873224,
19,6,2.990059594873224,
20,6,2.990059594873224,
21,6,2.990059594873224,
22,6,2.990059594873224,
23,6,2.990059594873224,
24,6,2.990059594873224,
25,6,2.990059594873224,
26,6,2.990059594873224,
27,6,2.990059594873224,
28,6,2.990059594873224,
29,6,2.990059594873224,
30,6,2.990059594873224,
31,6,2.990059594873224,
32,6,2.990059594873224,
33,6,2.990059594873224,
34,6,2.990059594873224,
35,6,2.990059594873224,
36,6,2.990059594873224,
37,6,2.990059594873224,
38,6,2.990059594873224,
39,6,2.990059594873224,
40,6,2.990059594873224,
41,6,2.990059594873224,
42,6,2.990059594873224,
43,6,2.990059594873224,
44,6,2.990059594873224,
45,6,2.990059594873224,
46,6,2.990059594873224,
47,6,2.990059594873224,
48,6,2.990059594873224,
49,6,2.990059594873224,
50,6,2.990059594873224,
51,6,2.990059594873224,
52,6,2.990059594873224,
53,6,2.990059594873224,
54,6,2.990059594873224,
55,6,2.990059594873224,
56,6,2.990059594873224,
57,6,2.990059594873224,
58,6,2.990059594873224,
59,6,2.990059594873224,
60,6,2.990059594873224,
61,6,2.990059594873224,
62,6,2.990059594873224,
63,6,2.990059594873224,
64,6,2.990059594873224,
65,6,2.990059594873224,
66,6,2.990059594873224,
67,6,2.990059594873224,
68,6,2.990059594873224,
69,6,2.990059594873224,
70,6,2.990059594873224,
71,6,2.990059594873224,
72,6,2.990059594873224,
73,6,2.990059594873224,
74,6,2.990059594873224,
75,6,2.990059594873224,
76,6,2.990059594873224,
77,6,2.990059594873224,
78,6,2.990059594873224,
79,6,2.990059594873224,
80,6,2.990059594873224,
81,6,2.990059594873224,
82,6,2.990059594873224,
83,6,2.990059594873224,
84,6,2.990059594873224,
85,6,2.990059594873224,
86,6,2.990059594873224,
87,6,2.990059594873224,
88,6,2.990059594873224,
89,6,2.990059594873224,
90,6,2.990059594873224,
91,6,2.990059594873224,
92,6,2.990059594873224,
93,6,2.990059594873224,
94,6,2.990059594873224,
95,6,2.990059594873224,
96,6,2.990059594873224,
97,6,2.990059594873224,
98,6,2.990059594873224,
99,6,2.990059594873224,
