Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.016275617217146744,-4.958844974242586
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.024038057987339434,-3.1643440406433614
Cyclohexane-IPA [Propan-2-ol],0.005100745187537869,-5.75023823477515
Water.Acetonitrile-Acetonitrile,0.022503229388043618,289.70964217828174
Acetonitrile-Acetonitrile.Acetic Acid,0.03357681783746057,90.45425859038623
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.0052112814974704744,-4.8762586334572555
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.01603224640998823,-4.488299274556864
"DMA [N,N-Dimethylacetamide]-Decanol",0.03007023338188348,-4.241615473159498
Ethanol-THF [Tetrahydrofuran],0.004927623436154065,-5.938581493662679
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.007632857459681042,-5.223203477480005
MTBE [tert-Butylmethylether]-Butanone [MEK],0.016101692356862894,-4.562371703400764
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.021215523019111157,-4.826855947751619
Methyl Propionate-Ethyl Lactate,0.012933770351303038,-4.512041264422604
