Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.024487932399204427,-3.5229584339316453
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.032426485514298456,-0.3881937323845679
Cyclohexane-IPA [Propan-2-ol],0.015674054051307958,-5.640834413235655
Water.Acetonitrile-Acetonitrile,0.035223449993453095,3.8284854540658713
Acetonitrile-Acetonitrile.Acetic Acid,0.02307119783647542,30.740490799830447
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.004122135681913132,-7.6693303727633335
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.009105445213778254,-4.877307125079844
"DMA [N,N-Dimethylacetamide]-Decanol",0.009351234479635243,-5.718669260971016
Ethanol-THF [Tetrahydrofuran],0.002807372330748511,-6.966252801014384
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.0044817241422103,-7.354569388943825
MTBE [tert-Butylmethylether]-Butanone [MEK],0.0027473606349994266,-7.439992336352916
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.009629599087290629,-5.541047849370514
Methyl Propionate-Ethyl Lactate,0.005568159575147443,-7.171866505982181
