Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.01010411366249967,-5.4037721576375946
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.03685055415894878,-1.8846537760668314
Cyclohexane-IPA [Propan-2-ol],0.009467665041859202,-5.099738187346853
Water.Acetonitrile-Acetonitrile,0.021112975241903364,17.434838386508833
Acetonitrile-Acetonitrile.Acetic Acid,0.0340230960278155,3.300115814443748
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.011777397134442964,-5.1824610119829835
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.013996372449325663,-4.6264525594707
"DMA [N,N-Dimethylacetamide]-Decanol",0.022032077569343514,-4.387647298025465
Ethanol-THF [Tetrahydrofuran],0.015356973895453324,-4.665732587175094
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.01512336519179677,-4.486263009702495
MTBE [tert-Butylmethylether]-Butanone [MEK],0.01572020422911742,-4.722942686853146
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.019437124540795967,-4.757362743814226
Methyl Propionate-Ethyl Lactate,0.0046744979994582415,-4.750570950428308
