Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.020528840600431003,-0.9785360162215762
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.01978524690987542,-1.0391070691868238
Cyclohexane-IPA [Propan-2-ol],0.004790973618159934,-0.2272860844642577
Water.Acetonitrile-Acetonitrile,0.02155854136663711,14.855545684494848
Acetonitrile-Acetonitrile.Acetic Acid,0.03118068053375468,3.849705979177371
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.006988898070695989,-2.497709483761507
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.02003628730559425,0.7310620386684082
"DMA [N,N-Dimethylacetamide]-Decanol",0.05032816816762601,1.148490034626038
Ethanol-THF [Tetrahydrofuran],0.007147074376162503,0.2476913943024702
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.02749350233066693,0.7295286219295088
MTBE [tert-Butylmethylether]-Butanone [MEK],0.050648096061070166,1.9877132127527322
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.059859741015815975,0.3329633524621511
Methyl Propionate-Ethyl Lactate,0.07605369704244115,1.992250935906358
