Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.016291665451677977,-0.1451758287162401
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.022611966602846506,-1.1199245164543596
Cyclohexane-IPA [Propan-2-ol],0.007344700144462549,0.9181086593040799
Water.Acetonitrile-Acetonitrile,0.021756978070715194,293.2158549191999
Acetonitrile-Acetonitrile.Acetic Acid,0.031044854074234504,123.94155757727214
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.007937388872149431,-1.5581509367547255
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.01147057264149832,0.4782994105788181
"DMA [N,N-Dimethylacetamide]-Decanol",0.03482327188402971,1.2753868603071938
Ethanol-THF [Tetrahydrofuran],0.007267320954918645,0.2874283351299133
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.08486496265926731,1.7459361401783415
MTBE [tert-Butylmethylether]-Butanone [MEK],0.028281558683844812,1.1550221516931691
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.03345352745277379,0.7904933288576445
Methyl Propionate-Ethyl Lactate,0.02506609792973191,1.6463923392159183
