Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.020753409594146257,-1.8339206149858753
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.03823005484341905,-2.393725357340225
Cyclohexane-IPA [Propan-2-ol],0.025073558638697983,-2.1139909291861216
Water.Acetonitrile-Acetonitrile,0.02643116842408117,-2.68617736297125
Acetonitrile-Acetonitrile.Acetic Acid,0.028375781301083952,-4.595837969069805
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.007640735000527334,-4.729473209359522
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.00880286423983199,-0.7623979100913637
"DMA [N,N-Dimethylacetamide]-Decanol",0.021396077110401625,-0.9102255268114195
Ethanol-THF [Tetrahydrofuran],0.002225741298477446,-4.324206463991104
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.006237029293545815,-3.8187997566831235
MTBE [tert-Butylmethylether]-Butanone [MEK],0.005609862653989301,-4.242189930881372
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.017287579284007943,-3.2159682853078455
Methyl Propionate-Ethyl Lactate,0.016672820922393555,-4.595532952799388
