Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.02672659911805806,-3.133260640423952
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.02942020501596718,-0.45237453480791945
Cyclohexane-IPA [Propan-2-ol],0.015066886194900774,-5.673389112146643
Water.Acetonitrile-Acetonitrile,0.046697815421740056,8.752776532689284
Acetonitrile-Acetonitrile.Acetic Acid,0.02374725655709914,49.053626920258196
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.00380905985444476,-6.476495291426346
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.009547314141216809,-4.855137096499206
"DMA [N,N-Dimethylacetamide]-Decanol",0.010471468491062962,-5.331349231541416
Ethanol-THF [Tetrahydrofuran],0.002584511029383877,-7.144531492073688
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.007289996288352589,-5.5840798417079
MTBE [tert-Butylmethylether]-Butanone [MEK],0.002679933212641714,-6.951485884878205
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.010604344795688081,-4.202463658015302
Methyl Propionate-Ethyl Lactate,0.005374958684658305,-7.168758371135067
