Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.16547534364567462,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.10486179835098275,
Cyclohexane-IPA [Propan-2-ol],0.1011931629190142,
Water.Acetonitrile-Acetonitrile,0.1606790741099093,
Acetonitrile-Acetonitrile.Acetic Acid,0.1345416206798623,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.10312490482902317,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.0697167736666866,
"DMA [N,N-Dimethylacetamide]-Decanol",0.10569430711336127,
Ethanol-THF [Tetrahydrofuran],0.10709215131006238,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.05861906008945793,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.13990401081601675,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.06180261414464175,
Methyl Propionate-Ethyl Lactate,0.14013451177501932,
