Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.011574222033683709,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.02771670671621154,
Cyclohexane-IPA [Propan-2-ol],0.014662661373679662,
Water.Acetonitrile-Acetonitrile,0.029578431222737907,
Acetonitrile-Acetonitrile.Acetic Acid,0.023131531874705544,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.005277237145921254,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.035331312462006284,
"DMA [N,N-Dimethylacetamide]-Decanol",0.020806782863092954,
Ethanol-THF [Tetrahydrofuran],0.006706381329199274,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.017584595151968016,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.00330835823632601,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.003761339779648399,
Methyl Propionate-Ethyl Lactate,0.0048190170747729345,
