Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.029203131110682956,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.03157517496365458,
Cyclohexane-IPA [Propan-2-ol],0.009102520118497652,
Water.Acetonitrile-Acetonitrile,0.023632246594460588,
Acetonitrile-Acetonitrile.Acetic Acid,0.031088140707303234,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.01058619778386524,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.011194373667584565,
"DMA [N,N-Dimethylacetamide]-Decanol",0.010348548322706135,
Ethanol-THF [Tetrahydrofuran],0.005758393482502217,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.0804599786135998,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.007966642429143531,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.01193302870981342,
Methyl Propionate-Ethyl Lactate,0.007267639948390799,
