Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.01771150612324223,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.03628981565509201,
Cyclohexane-IPA [Propan-2-ol],0.010915098272093188,
Water.Acetonitrile-Acetonitrile,0.025548351365884122,
Acetonitrile-Acetonitrile.Acetic Acid,0.0374621688202577,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.020231493821358453,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.01766051880399707,
"DMA [N,N-Dimethylacetamide]-Decanol",0.014701953236265691,
Ethanol-THF [Tetrahydrofuran],0.004482321622142018,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.007591051415063622,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.0056033325946408296,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.003178204242693224,
Methyl Propionate-Ethyl Lactate,0.00507156207414619,
