Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.015402204273024826,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.18061778848302804,
Cyclohexane-IPA [Propan-2-ol],0.01893738762366154,
Water.Acetonitrile-Acetonitrile,0.02595622893046333,
Acetonitrile-Acetonitrile.Acetic Acid,0.02147714531184756,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.028584278594890346,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.011169565995164717,
"DMA [N,N-Dimethylacetamide]-Decanol",0.0200074894074786,
Ethanol-THF [Tetrahydrofuran],0.016153107013733417,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.01798197870108753,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.03890447899507406,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.002054973772165681,
Methyl Propionate-Ethyl Lactate,0.015562433778252064,
