Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.07498684095478361,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.06333139501189557,
Cyclohexane-IPA [Propan-2-ol],0.06820158012802982,
Water.Acetonitrile-Acetonitrile,0.08412754914013885,
Acetonitrile-Acetonitrile.Acetic Acid,0.08812813349352652,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.05167965752106542,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.052023179800721346,
"DMA [N,N-Dimethylacetamide]-Decanol",0.07299728570802462,
Ethanol-THF [Tetrahydrofuran],0.06343048334978232,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.03925630070551342,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.049273618524907664,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.04653866771255605,
Methyl Propionate-Ethyl Lactate,0.033522626585534676,
