Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
1,6,1,0.04469979218544401,0.30306882066905,0.07025059696501676,535
2,7,2,0.03352484413908301,0.29011270956390467,0.07025059696501676,581
3,8,2,0.033212346073499543,0.2722630895927628,0.07025059696501676,171
4,9,2,0.03538686889715261,0.22883747211222832,0.07025059696501676,673
5,10,2,0.03538686889715261,0.22883747211222832,0.07025059696501676,269
6,11,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,420
7,12,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,229
8,13,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,719
9,14,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,572
10,15,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,603
11,16,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,659
12,17,2,0.04208949439639011,0.18430018661834807,0.08230524739181513,294
13,18,3,0.03548099682275898,0.18467118614186045,0.08230524739181513,785
14,19,3,0.03548099682275898,0.18467118614186045,0.08230524739181513,39
15,20,3,0.03548099682275898,0.18467118614186045,0.08230524739181513,250
16,21,4,0.025445197256328014,0.1838516143004361,0.08230524739181513,579
17,22,4,0.025445197256328014,0.1838516143004361,0.08230524739181513,758
18,23,4,0.04410800696359475,0.1838516143004361,0.17474767491446191,555
19,24,4,0.04410800696359475,0.1838516143004361,0.17474767491446191,633
20,25,4,0.04410800696359475,0.1838516143004361,0.17474767491446191,617
21,26,4,0.0417163585163995,0.16985839053011,0.17474767491446191,779
22,27,4,0.0417163585163995,0.16985839053011,0.17474767491446191,718
23,28,4,0.0417163585163995,0.16985839053011,0.17474767491446191,696
24,29,4,0.0417163585163995,0.16985839053011,0.17474767491446191,575
25,30,4,0.0417163585163995,0.16985839053011,0.17474767491446191,752
26,31,4,0.0417163585163995,0.16985839053011,0.17474767491446191,46
27,32,4,0.0417163585163995,0.16985839053011,0.17474767491446191,84
28,33,5,0.03754472266475955,0.16864801924493625,0.17474767491446191,418
29,34,5,0.046183223668939254,0.1551292811094652,0.17474767491446191,461
30,35,5,0.046183223668939254,0.1551292811094652,0.17474767491446191,402
31,36,5,0.046183223668939254,0.1551292811094652,0.17474767491446191,391
32,37,5,0.046183223668939254,0.1551292811094652,0.17474767491446191,191
33,38,5,0.056460137038480275,0.15363815331035696,0.17474767491446191,74
34,39,5,0.06180668770610698,0.14210097770378213,0.17474767491446191,515
35,40,5,0.062245475140123255,0.13114241368477253,0.17474767491446191,801
36,41,6,0.05809577679744837,0.1278537307194931,0.17474767491446191,509
37,42,6,0.05809577679744837,0.1278537307194931,0.17474767491446191,351
38,43,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,539
39,44,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,107
40,45,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,498
41,46,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,571
42,47,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,315
43,48,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,347
44,49,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,118
45,50,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,209
46,51,6,0.046951497434610565,0.11715923378917525,0.16950618410343152,371
47,52,6,0.04284654138415602,0.11662675746577744,0.13256823371073634,160
48,53,6,0.04284654138415602,0.11662675746577744,0.13256823371073634,51
49,54,6,0.04284654138415602,0.11662675746577744,0.13256823371073634,615
50,55,6,0.05511566963306862,0.11662675746577744,0.23915259336675757,425
