Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
1,6,0,0.12604743343806626,0.4291204253484986,0.21820932945999247,201
2,7,1,0.0945355750785497,0.30627466710997014,0.21820932945999247,541
3,8,1,0.09345033293310193,0.3040449647239724,0.21820932945999247,123
4,9,1,0.11661863337039674,0.3016343988520377,0.23246013555687084,331
5,10,2,0.0999588286031972,0.29368250543353547,0.23246013555687084,104
6,11,2,0.0999588286031972,0.29368250543353547,0.23246013555687084,354
7,12,2,0.0999588286031972,0.29368250543353547,0.23246013555687084,779
8,13,2,0.0999588286031972,0.29368250543353547,0.23246013555687084,777
9,14,2,0.09354214366011376,0.20193177165397985,0.23246013555687084,672
10,15,2,0.09354214366011376,0.20193177165397985,0.23246013555687084,187
11,16,3,0.0782359200100933,0.20095136083365336,0.23246013555687084,184
12,17,3,0.0782359200100933,0.20095136083365336,0.23246013555687084,523
13,18,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,690
14,19,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,95
15,20,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,778
16,21,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,376
17,22,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,61
18,23,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,332
19,24,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,515
20,25,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,21
21,26,4,0.06954304000897182,0.19292882382001225,0.23246013555687084,552
22,27,4,0.07256887888772572,0.1912126440065553,0.23246013555687084,545
23,28,5,0.06597170807975065,0.1644476782134924,0.23246013555687084,684
24,29,5,0.06597170807975065,0.1644476782134924,0.23246013555687084,280
25,30,5,0.06597170807975065,0.1644476782134924,0.23246013555687084,145
26,31,5,0.06597170807975065,0.1644476782134924,0.23246013555687084,774
27,32,5,0.06597170807975065,0.1644476782134924,0.23246013555687084,776
28,33,5,0.07880426633037993,0.16348921997731425,0.23246013555687084,496
29,34,5,0.07476779947223045,0.16348921997731425,0.23246013555687084,722
30,35,5,0.07476779947223045,0.16348921997731425,0.23246013555687084,251
31,36,5,0.06973819532477023,0.13807362998708847,0.23246013555687084,529
32,37,6,0.06785746695516762,0.13802779290622202,0.23246013555687084,691
33,38,7,0.06333363582482311,0.12405313516265805,0.23246013555687084,204
34,39,7,0.06333363582482311,0.12405313516265805,0.23246013555687084,37
35,40,7,0.06333363582482311,0.12405313516265805,0.23246013555687084,775
