Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.06326418786529882,0.91061216752627
"2,2,2-Trifluoroethanol",0.02199702352751664,-4.458999984916864
2-Methyltetrahydrofuran [2-MeTHF],0.01694659906284061,-5.284304686037914
Acetonitrile,0.01553469284315519,-5.3890524751108835
Acetonitrile.Acetic Acid,0.024031268816794796,-2.6150972972776363
Butanone [MEK],0.00369976568707664,-6.305248522551668
Cyclohexane,0.013083062804011595,-5.268724657126366
"DMA [N,N-Dimethylacetamide]",0.004393675039217396,-6.041113751413718
Decanol,0.0071029484498153885,-5.820220662446804
Diethyl Ether [Ether],0.04727037229299611,-2.4762019272481166
Dihydrolevoglucosenone (Cyrene),0.007272779982702111,-5.671157940246013
Dimethyl Carbonate,0.0082885552913572,-6.011713634841306
Ethanol,0.0070572231546471844,-5.737778489008429
Ethyl Acetate,0.0008754378001949737,-6.4713824839062895
Ethyl Lactate,0.00457202506072126,-6.039934386150571
"Ethylene Glycol [1,2-Ethanediol]",0.03345504249931783,-1.6539907501359827
IPA [Propan-2-ol],0.014548833736719084,-4.711290564394859
MTBE [tert-Butylmethylether],0.007344496623270713,-6.05755755581998
Methanol,0.0037989083271949236,-6.13842202584635
Methyl Propionate,0.0019059209809807456,-6.333249949172597
THF [Tetrahydrofuran],0.008360721957957009,-5.81904255375496
"Water.2,2,2-Trifluoroethanol",0.027125376718802205,-4.010626054340611
Water.Acetonitrile,0.029655433946449417,-2.4300383355925153
tert-Butanol [2-Methylpropan-2-ol],0.0007053665452586007,-6.519286337000895
