Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.0882949782345527,-1.978262859079375
"2,2,2-Trifluoroethanol",0.0628702698876797,-2.186008549419642
2-Methyltetrahydrofuran [2-MeTHF],0.039388969656630836,-2.260923215657058
Acetonitrile,0.05865241512642479,-2.1879065247443514
Acetonitrile.Acetic Acid,0.07581388419977397,-2.112255706795803
Butanone [MEK],0.020822818976098386,-2.343426151601259
Cyclohexane,0.037450220719486005,-2.267644171739077
"DMA [N,N-Dimethylacetamide]",0.05448362716282515,-2.2030649411180767
Decanol,0.0661008172409809,-2.1183515432161513
Diethyl Ether [Ether],0.05345482158145698,-2.2175190892225918
Dihydrolevoglucosenone (Cyrene),0.026537627322161375,-2.339681837370304
Dimethyl Carbonate,0.06198860956109534,-2.177508816266512
Ethanol,0.05630110046734229,-2.1763231034154886
Ethyl Acetate,0.02741093146331246,-2.316911969178975
Ethyl Lactate,0.020917376767719167,-2.371094514259712
"Ethylene Glycol [1,2-Ethanediol]",0.09795554859641943,-1.8239638435061403
IPA [Propan-2-ol],0.08994315707579474,-1.9042982474569035
MTBE [tert-Butylmethylether],0.062155951308119496,-2.1728705145845564
Methanol,0.05165804370742352,-2.217266599713053
Methyl Propionate,0.030418298328208932,-2.2909759345230323
THF [Tetrahydrofuran],0.046710355646119715,-2.236646744203532
"Water.2,2,2-Trifluoroethanol",0.07156470931292878,-2.104252736933096
Water.Acetonitrile,0.0907347288908307,-1.9322290947594833
tert-Butanol [2-Methylpropan-2-ol],0.02893380103180966,-2.3154251996254374
