Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.07847642877612124,-2.3618132985000164
"2,2,2-Trifluoroethanol",0.06930525270695312,-3.6123507655830474
2-Methyltetrahydrofuran [2-MeTHF],0.03435784593115636,-4.180179649473606
Acetonitrile,0.04594778058754445,-4.138361434020834
Acetonitrile.Acetic Acid,0.08547554671597409,-3.172720351534181
Butanone [MEK],0.01676196802285117,-4.42838690060822
Cyclohexane,0.039567149077113,-3.850842159181086
"DMA [N,N-Dimethylacetamide]",0.05793112283307631,-3.803240912535922
Decanol,0.06003784899366016,-3.1850736165501874
Diethyl Ether [Ether],0.04744274371014422,-4.046942488707192
Dihydrolevoglucosenone (Cyrene),0.007411988869992725,-5.044114025061299
Dimethyl Carbonate,0.04818919233954497,-4.178765273275092
Ethanol,0.0629513062071243,-3.2535693354208113
Ethyl Acetate,0.015280735813926876,-4.6829235023033275
Ethyl Lactate,0.008982624693518817,-5.046702636755824
"Ethylene Glycol [1,2-Ethanediol]",0.09678064317909715,-0.4827141111590078
IPA [Propan-2-ol],0.12621055671035936,4.476162209489866
MTBE [tert-Butylmethylether],0.03848254722692816,-4.371370545471411
Methanol,0.06831652041116029,-3.0712992174790865
Methyl Propionate,0.01884928926521812,-4.53879985954329
THF [Tetrahydrofuran],0.044049485809650395,-3.9208462319384534
"Water.2,2,2-Trifluoroethanol",0.09205532101323666,-0.3148403116347178
Water.Acetonitrile,0.10609534681772054,-0.11264609273666379
tert-Butanol [2-Methylpropan-2-ol],0.01002304809932876,-4.924131629701321
