Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.0793965710098196,-2.2024579676831166
"2,2,2-Trifluoroethanol",0.07412548177457604,-3.573355015793644
2-Methyltetrahydrofuran [2-MeTHF],0.03471332238580961,-4.200932582554577
Acetonitrile,0.04625274802469619,-4.126752742726096
Acetonitrile.Acetic Acid,0.08444730303318898,-3.3564277315390956
Butanone [MEK],0.016863871635975594,-4.62200824120849
Cyclohexane,0.034352445952955585,-4.012321780626126
"DMA [N,N-Dimethylacetamide]",0.06110816859843908,-3.666385249921447
Decanol,0.060051010064971946,-3.0331796667233206
Diethyl Ether [Ether],0.0508235413822442,-4.031209980636581
Dihydrolevoglucosenone (Cyrene),0.008861195011394074,-4.876603447758312
Dimethyl Carbonate,0.0466289214592872,-4.210109465105928
Ethanol,0.061721954841480714,-3.337290755559133
Ethyl Acetate,0.016243448625820993,-4.652129208580758
Ethyl Lactate,0.007829778283171334,-5.090097941959957
"Ethylene Glycol [1,2-Ethanediol]",0.09484568693910696,-0.5565746627423096
IPA [Propan-2-ol],0.11242102164228605,2.924247820852983
MTBE [tert-Butylmethylether],0.040265094261492655,-4.444674447379766
Methanol,0.06656572446105014,-3.310481521637367
Methyl Propionate,0.01810656976284126,-4.5291779906311485
THF [Tetrahydrofuran],0.045908310827374905,-3.767503482978903
"Water.2,2,2-Trifluoroethanol",0.09540535675188098,0.043025088052779194
Water.Acetonitrile,0.10642436701728385,-0.0015861641788013526
tert-Butanol [2-Methylpropan-2-ol],0.013232396772114154,-4.949226993444015
