Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08563741283687439,-2.2291969562253584
"2,2,2-Trifluoroethanol",0.07056107687791599,-3.6309138460066706
2-Methyltetrahydrofuran [2-MeTHF],0.03370177488240978,-4.133672281983231
Acetonitrile,0.049710676551825414,-3.928804915453686
Acetonitrile.Acetic Acid,0.08532553847315999,-3.1674130624882717
Butanone [MEK],0.01652962789162812,-4.5332061118774165
Cyclohexane,0.03705876831080606,-3.939042111376591
"DMA [N,N-Dimethylacetamide]",0.05888069547039885,-3.7380307946193
Decanol,0.06073347629687205,-3.0537686397493515
Diethyl Ether [Ether],0.04892570423881022,-3.991243052443874
Dihydrolevoglucosenone (Cyrene),0.008136932932815442,-5.07358022107103
Dimethyl Carbonate,0.04672193332039663,-4.146274655988885
Ethanol,0.059326908786204016,-3.3825533223194357
Ethyl Acetate,0.01576485774534725,-4.661396464271292
Ethyl Lactate,0.0069236397011635765,-5.17521594975934
"Ethylene Glycol [1,2-Ethanediol]",0.09467372534654574,-0.6537377012630007
IPA [Propan-2-ol],0.12774057563826824,5.232925150528465
MTBE [tert-Butylmethylether],0.039177244550368494,-4.454461364175912
Methanol,0.06700508052458798,-3.1851864848298646
Methyl Propionate,0.016960720301444354,-4.6552789754920125
THF [Tetrahydrofuran],0.04519982034424467,-3.8249034822003605
"Water.2,2,2-Trifluoroethanol",0.09602078796786157,0.7380479845242874
Water.Acetonitrile,0.10810680346838066,0.17966451383271495
tert-Butanol [2-Methylpropan-2-ol],0.012285874236217556,-4.8784575068901015
