Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.07626688883985118,-2.4374670737779716
"2,2,2-Trifluoroethanol",0.07211252276397048,-3.571496257103302
2-Methyltetrahydrofuran [2-MeTHF],0.03330754913833793,-4.194407991424558
Acetonitrile,0.04761063575052053,-4.022130210830608
Acetonitrile.Acetic Acid,0.08249765156013279,-3.344478419393712
Butanone [MEK],0.0204096256582147,-4.442800811217296
Cyclohexane,0.03692972836316078,-3.9612356481444877
"DMA [N,N-Dimethylacetamide]",0.05907652850217821,-3.6907597653775928
Decanol,0.060065399342766425,-3.1481462642720857
Diethyl Ether [Ether],0.05030715842980766,-4.036091759634419
Dihydrolevoglucosenone (Cyrene),0.00741500726000486,-5.142460384137974
Dimethyl Carbonate,0.04703482847300646,-4.179225163412499
Ethanol,0.06177027317614417,-3.2942279205589378
Ethyl Acetate,0.01717920142855288,-4.518637821311988
Ethyl Lactate,0.007993831470250528,-5.023903390406694
"Ethylene Glycol [1,2-Ethanediol]",0.0971635974384676,-0.47678342194381784
IPA [Propan-2-ol],0.11712308438894248,2.994733170816536
MTBE [tert-Butylmethylether],0.03977871658872527,-4.3914818856055975
Methanol,0.06608319811423903,-3.227383721472969
Methyl Propionate,0.020168003740308332,-4.5057908168068295
THF [Tetrahydrofuran],0.04604201187908819,-3.8098787827446383
"Water.2,2,2-Trifluoroethanol",0.09498738089392172,-0.2675286336442971
Water.Acetonitrile,0.10584536103017188,0.23819757410746978
tert-Butanol [2-Methylpropan-2-ol],0.014383040586478003,-4.78671775555424
