Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.07636208898074784,-1.8106049641399409
"2,2,2-Trifluoroethanol",0.00820684744315027,-5.265264262739866
2-Methyltetrahydrofuran [2-MeTHF],0.03389623822942278,-4.010802444637369
Acetonitrile,0.020484198070844308,-3.708507369671501
Acetonitrile.Acetic Acid,0.018470212114126815,11.273161553764027
Butanone [MEK],0.018980499771494297,3.8252369220114786
Cyclohexane,0.02909018824484978,-4.600534338291523
"DMA [N,N-Dimethylacetamide]",0.01136697281370419,-4.62480954504363
Decanol,0.011006685210049827,-4.906089068042905
Diethyl Ether [Ether],0.010123645892074911,-4.835446844233445
Dihydrolevoglucosenone (Cyrene),0.02669235287001372,-4.330259141792566
Dimethyl Carbonate,0.010328529491370335,1.9247726523163007
Ethanol,0.004120943628168181,-6.3316496000883005
Ethyl Acetate,0.0007619070507400338,-9.402267752212813
Ethyl Lactate,0.029506070339276713,-0.8626766442763779
"Ethylene Glycol [1,2-Ethanediol]",0.028199704921693745,-2.0984350484308862
IPA [Propan-2-ol],0.0029354062127136863,-5.947322257068793
MTBE [tert-Butylmethylether],0.01780457955012034,-5.182416032408095
Methanol,0.006965474853315055,-6.044220672718114
Methyl Propionate,0.001375411878821441,-9.090892371976585
THF [Tetrahydrofuran],0.004494238855550248,-6.458673903842533
"Water.2,2,2-Trifluoroethanol",0.011985415457516314,-4.560491984998495
Water.Acetonitrile,0.035299636521903016,0.4812744699281602
tert-Butanol [2-Methylpropan-2-ol],0.02183629780561279,-0.4929375040327469
