Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.05480579151151175,-2.905952092634011
"2,2,2-Trifluoroethanol",0.018259515394679023,55.64445490083384
2-Methyltetrahydrofuran [2-MeTHF],0.01195826476097632,-4.785382142550583
Acetonitrile,0.053294110610406585,330.98297904855275
Acetonitrile.Acetic Acid,0.027770840663186174,-3.596903816697804
Butanone [MEK],0.0072689663850012114,-4.807284835801032
Cyclohexane,0.00735808978658618,-5.3749236397330735
"DMA [N,N-Dimethylacetamide]",0.02380860643903863,-4.534504783657435
Decanol,0.03692836138643504,-3.788856849880231
Diethyl Ether [Ether],0.012266171036620381,-5.331014563551638
Dihydrolevoglucosenone (Cyrene),0.002969472338477207,-6.919068761271479
Dimethyl Carbonate,0.03538814328157515,-4.441492177209547
Ethanol,0.004249926084128736,-6.226118797250579
Ethyl Acetate,0.0035119181345468964,-5.04463415460333
Ethyl Lactate,0.009522754644532993,-4.85560838334679
"Ethylene Glycol [1,2-Ethanediol]",0.035136345648921055,-0.18938954124632526
IPA [Propan-2-ol],0.00919920728806413,-5.175483670183242
MTBE [tert-Butylmethylether],0.01571853795771449,-5.0032447624423355
Methanol,0.010230313825326257,-6.19482741897248
Methyl Propionate,0.012768284700050253,-4.536340205882279
THF [Tetrahydrofuran],0.0032672290784203518,-5.418298953123885
"Water.2,2,2-Trifluoroethanol",0.016873646283960014,108.11831805731195
Water.Acetonitrile,0.06397985845629081,565.5037356306092
tert-Butanol [2-Methylpropan-2-ol],0.019227974163294595,-5.061946254996295
