Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.05538860988606233,-3.015688286157538
"2,2,2-Trifluoroethanol",0.01852320650648934,2.1727397873989913
2-Methyltetrahydrofuran [2-MeTHF],0.01204997149263168,-4.6603461705785145
Acetonitrile,0.05315661072952802,49.74428700506443
Acetonitrile.Acetic Acid,0.03019324835772441,-3.679594053773823
Butanone [MEK],0.007191928751924685,-4.704896942123988
Cyclohexane,0.007973789618912796,-5.338421073886476
"DMA [N,N-Dimethylacetamide]",0.023484803951552415,-4.44898534658015
Decanol,0.03716409489142767,-3.7839775885980695
Diethyl Ether [Ether],0.012789651078405021,-5.172960180752506
Dihydrolevoglucosenone (Cyrene),0.0030165710839004396,-6.522862350505297
Dimethyl Carbonate,0.03509091322883539,-4.3775414054436
Ethanol,0.0045368025889313155,-5.925847775574952
Ethyl Acetate,0.003601072625784055,-4.912485868628877
Ethyl Lactate,0.010184333873984897,-4.712933241866349
"Ethylene Glycol [1,2-Ethanediol]",0.03511764216799098,-1.6117990505506783
IPA [Propan-2-ol],0.009435774612183354,-5.173156068066238
MTBE [tert-Butylmethylether],0.016150248118783024,-4.862631653090566
Methanol,0.009899465351234545,-6.012202114553156
Methyl Propionate,0.012389783066815417,-4.47542660263531
THF [Tetrahydrofuran],0.003785268961819562,-5.171243713835499
"Water.2,2,2-Trifluoroethanol",0.016812656123835413,3.107553296443023
Water.Acetonitrile,0.06395249409471179,68.41323435045065
tert-Butanol [2-Methylpropan-2-ol],0.015717858418868504,-4.9769182342197995
