Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.05619864026181625,-2.5970453613850735
"2,2,2-Trifluoroethanol",0.018193222908606598,0.8775728086435093
2-Methyltetrahydrofuran [2-MeTHF],0.015284769011833762,-4.67557471116107
Acetonitrile,0.054656725917244756,787.5031649333142
Acetonitrile.Acetic Acid,0.03038266601764976,-3.8252968517569315
Butanone [MEK],0.0094603351184302,-5.204165082668617
Cyclohexane,0.008428567996044436,-5.029828306589064
"DMA [N,N-Dimethylacetamide]",0.011851305651915868,-4.903150862421489
Decanol,0.031231756605218996,-4.176229885172643
Diethyl Ether [Ether],0.016430366818529687,-5.179434333954039
Dihydrolevoglucosenone (Cyrene),0.02158862645005077,-4.462926893065766
Dimethyl Carbonate,0.01797338303825918,-5.059338188514681
Ethanol,0.0022621813605901765,-6.443159049965887
Ethyl Acetate,0.002203999087972264,-5.409572343461291
Ethyl Lactate,0.003837740653580937,-5.248795026439995
"Ethylene Glycol [1,2-Ethanediol]",0.05982728929871807,-1.1350885365058099
IPA [Propan-2-ol],0.013938815198200269,-4.647818573920103
MTBE [tert-Butylmethylether],0.015421287085775328,-5.121316898641676
Methanol,0.007444302373655231,-6.103975837957096
Methyl Propionate,0.0015912997485720694,-5.287173987752759
THF [Tetrahydrofuran],0.006869557006943732,-5.170240798056615
"Water.2,2,2-Trifluoroethanol",0.016368465989439376,1.3069026404046906
Water.Acetonitrile,0.06427321474909235,1073.7929525449003
tert-Butanol [2-Methylpropan-2-ol],0.023090028964248343,-4.837670160934138
