Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.03261188331245776,-2.040632004771425
"2,2,2-Trifluoroethanol",0.014394236417411164,-4.139942311525868
2-Methyltetrahydrofuran [2-MeTHF],0.0024858697857491154,-8.025855770325796
Acetonitrile,0.015293027546759978,-3.4052247199813492
Acetonitrile.Acetic Acid,0.029038625047524254,3.1318018346267977
Butanone [MEK],0.004457252853489581,-6.480157317591305
Cyclohexane,0.03243484238102007,-4.0091684192280175
"DMA [N,N-Dimethylacetamide]",0.01192193618374386,-5.610991369510324
Decanol,0.0028813523070838096,-5.98941837584375
Diethyl Ether [Ether],0.00602996775678706,-6.7120783751889475
Dihydrolevoglucosenone (Cyrene),0.010479867950628222,-6.092268950751752
Dimethyl Carbonate,0.01140378551450285,-4.313674653214737
Ethanol,0.004268290256992064,-7.143798888044403
Ethyl Acetate,0.0026006719524272214,-8.06900751213089
Ethyl Lactate,0.0041530997527833196,-6.983631800576401
"Ethylene Glycol [1,2-Ethanediol]",0.021484638224744973,-3.126685722638221
IPA [Propan-2-ol],0.0023054444386765697,-7.453804619419572
MTBE [tert-Butylmethylether],0.00479722284241526,-7.23274080631334
Methanol,0.009974479586876769,-6.117252407618615
Methyl Propionate,0.0016781456019232949,-8.552595595562297
THF [Tetrahydrofuran],0.001169654985341077,-9.089327904676297
"Water.2,2,2-Trifluoroethanol",0.009352585941487683,-5.445118735630701
Water.Acetonitrile,0.011683425627385733,-4.620589761333748
tert-Butanol [2-Methylpropan-2-ol],0.006863959522635955,-5.279214405414702
