Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.03660359445847264,0.44779846724529027
"2,2,2-Trifluoroethanol",0.014902996979794945,-3.1795088161594567
2-Methyltetrahydrofuran [2-MeTHF],0.0019158844252353511,-7.707928762088842
Acetonitrile,0.023973987706152854,-1.216023078497813
Acetonitrile.Acetic Acid,0.02420862778138973,23.66909033647043
Butanone [MEK],0.004414391575062928,-1.7179902786158905
Cyclohexane,0.06283919979761293,-3.410000572779548
"DMA [N,N-Dimethylacetamide]",0.008171768657677212,-5.906593858234652
Decanol,0.004038807344405732,-6.403580121567171
Diethyl Ether [Ether],0.0033177128088342704,-6.880751162975554
Dihydrolevoglucosenone (Cyrene),0.009949913354718324,-6.442916148138477
Dimethyl Carbonate,0.0094045485312562,1.2059313644178722
Ethanol,0.00254807959460721,-7.866948141637543
Ethyl Acetate,0.002266514671490837,11.401445973625608
Ethyl Lactate,0.0033202627563672146,-6.782669187097263
"Ethylene Glycol [1,2-Ethanediol]",0.02630572003202586,-1.6628201503137723
IPA [Propan-2-ol],0.002305130748219695,-7.68511028998551
MTBE [tert-Butylmethylether],0.006756900946423813,-5.8785124219385105
Methanol,0.006620408213903956,-6.786250340074042
Methyl Propionate,0.002070608955377849,-6.6810898184320004
THF [Tetrahydrofuran],0.0006086615099731621,-9.68977790806811
"Water.2,2,2-Trifluoroethanol",0.007289453618649019,-5.9854985956834454
Water.Acetonitrile,0.019378125978055886,-3.4131977229966894
tert-Butanol [2-Methylpropan-2-ol],0.014788981839481753,-5.144702791805965
