Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.04147497754492183,-0.6042208336167064
"2,2,2-Trifluoroethanol",0.01564785238370877,-3.623851504304182
2-Methyltetrahydrofuran [2-MeTHF],0.0026719434996917116,-7.926159628858592
Acetonitrile,0.02293148842768035,-1.5862618141707645
Acetonitrile.Acetic Acid,0.024564749664329456,15.452932906559672
Butanone [MEK],0.004444626640461144,0.3407055964385677
Cyclohexane,0.06847291296219928,-3.1640738859687323
"DMA [N,N-Dimethylacetamide]",0.00892865135519888,-5.8005160907403726
Decanol,0.005298299739480027,-6.16119489954813
Diethyl Ether [Ether],0.0024020125491431804,-6.755112031718217
Dihydrolevoglucosenone (Cyrene),0.010106393575643828,-6.497472397624638
Dimethyl Carbonate,0.01069731001887252,0.39037575704296623
Ethanol,0.0029309430254362604,-7.563364258280816
Ethyl Acetate,0.002843173922577056,5.465508178694615
Ethyl Lactate,0.0038748544772720613,-7.199338104284034
"Ethylene Glycol [1,2-Ethanediol]",0.02590314018142801,-2.19256864229764
IPA [Propan-2-ol],0.0023341569744078005,-7.8266808629280105
MTBE [tert-Butylmethylether],0.00798551093408622,-6.050254651087305
Methanol,0.007966485658056494,-6.076348903015758
Methyl Propionate,0.002325657515313032,-6.9207396377346235
THF [Tetrahydrofuran],0.0006859377968624965,-9.513119618977658
"Water.2,2,2-Trifluoroethanol",0.011373330947901761,-5.881795438314931
Water.Acetonitrile,0.015512503826120785,-4.410776429358192
tert-Butanol [2-Methylpropan-2-ol],0.018974166164440556,-4.7692825835044355
