Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08037353283733102,-2.0069363048157727
"2,2,2-Trifluoroethanol",0.010453085772750143,-4.748014036207658
2-Methyltetrahydrofuran [2-MeTHF],0.03490912428422349,-3.998146536148917
Acetonitrile,0.022576247640176947,-3.6048320572143613
Acetonitrile.Acetic Acid,0.017651062084402515,3.850432124565375
Butanone [MEK],0.021898550330249837,5.657624437912346
Cyclohexane,0.035321274615659294,-4.5364399350039335
"DMA [N,N-Dimethylacetamide]",0.0130031394310437,-4.661061231235404
Decanol,0.00804446193039586,-5.577016000052411
Diethyl Ether [Ether],0.006931589695414617,-5.184149035727723
Dihydrolevoglucosenone (Cyrene),0.026815007473298506,-4.321262342019523
Dimethyl Carbonate,0.010604584407559021,3.323980278239788
Ethanol,0.002974458168743619,-6.850708878302687
Ethyl Acetate,0.0006946968024643924,-9.404213673596475
Ethyl Lactate,0.018022924248686602,-1.4270270186240124
"Ethylene Glycol [1,2-Ethanediol]",0.028819790411391003,-2.6615586156024276
IPA [Propan-2-ol],0.0033454169407847994,-5.694440783129193
MTBE [tert-Butylmethylether],0.002354133170045077,-7.381768991304971
Methanol,0.005201879115870666,-6.237029007028989
Methyl Propionate,0.0017689089835910216,-8.556275833489051
THF [Tetrahydrofuran],0.006642667043193848,-6.205615155740784
"Water.2,2,2-Trifluoroethanol",0.010354459389808226,-5.134591695837024
Water.Acetonitrile,0.031795745265904146,-1.4065385714636633
tert-Butanol [2-Methylpropan-2-ol],0.019502499049748566,0.030460752760618437
