Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.05566154192823875,-3.0286550694649854
"2,2,2-Trifluoroethanol",0.018753079955104165,2.0750714731649387
2-Methyltetrahydrofuran [2-MeTHF],0.015640200684156086,-4.566118013707332
Acetonitrile,0.053977729156676583,53.70305969458804
Acetonitrile.Acetic Acid,0.030570446436373726,-3.634535075663821
Butanone [MEK],0.007475607429254276,-4.6886278921899365
Cyclohexane,0.0074980087444980375,-5.136039945386186
"DMA [N,N-Dimethylacetamide]",0.022863605202666847,-4.466033202909644
Decanol,0.03663539745832207,-3.8428202055202036
Diethyl Ether [Ether],0.010356836774929481,-5.182416097631949
Dihydrolevoglucosenone (Cyrene),0.01712177920513784,-5.67436906191324
Dimethyl Carbonate,0.03629551033037137,-4.347926814807021
Ethanol,0.004411904197893853,-5.935917660829729
Ethyl Acetate,0.003915317330979637,-4.896106877351925
Ethyl Lactate,0.010809706351420492,-4.693499535526385
"Ethylene Glycol [1,2-Ethanediol]",0.03096114129705896,-2.3316811019394033
IPA [Propan-2-ol],0.009660026494770631,-4.864880349684627
MTBE [tert-Butylmethylether],0.017702246670673216,-4.822677719466342
Methanol,0.009451465376183637,-5.9158767074560314
Methyl Propionate,0.010303092473028165,-4.59701360893875
THF [Tetrahydrofuran],0.0037188083874442456,-5.157102902653027
"Water.2,2,2-Trifluoroethanol",0.01753946185690163,4.004983467847201
Water.Acetonitrile,0.06419680179221246,64.44004745639921
tert-Butanol [2-Methylpropan-2-ol],0.017436541692407145,-4.869976545575349
