Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.05220049871257051,-2.7296692418302606
"2,2,2-Trifluoroethanol",0.018550924050935138,-2.3669296724741313
2-Methyltetrahydrofuran [2-MeTHF],0.015182659132327395,-4.599344244286269
Acetonitrile,0.055433905178994235,151.02796189481566
Acetonitrile.Acetic Acid,0.03374178753412602,-3.769479992098454
Butanone [MEK],0.006146150171696368,-5.0905310779383575
Cyclohexane,0.007772662499734115,-4.982396921786762
"DMA [N,N-Dimethylacetamide]",0.013169829129320477,-4.77167160863281
Decanol,0.030963706297951137,-4.154950201240195
Diethyl Ether [Ether],0.027350154621511365,-4.87253508244793
Dihydrolevoglucosenone (Cyrene),0.021917057355476208,-4.3925041923889605
Dimethyl Carbonate,0.019640735877507316,-4.903610435958069
Ethanol,0.006826769879213132,-5.771586068667449
Ethyl Acetate,0.0022546974245005406,-5.190314234449006
Ethyl Lactate,0.005338342686029404,-4.979006139394267
"Ethylene Glycol [1,2-Ethanediol]",0.029194909030275766,-2.41162337230082
IPA [Propan-2-ol],0.01682828458731019,-4.522147150770305
MTBE [tert-Butylmethylether],0.01945710140675675,-4.928045815580835
Methanol,0.008260980152073806,-5.892958174560093
Methyl Propionate,0.0019559187707411125,-5.129656298871699
THF [Tetrahydrofuran],0.006700801483777528,-5.069750649896917
"Water.2,2,2-Trifluoroethanol",0.016985606769102934,-2.4043749869429063
Water.Acetonitrile,0.0641115488093053,151.92946718429997
tert-Butanol [2-Methylpropan-2-ol],0.025904024902497644,-4.64056763906996
