Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.039787204902840996,-1.075152220960795
"2,2,2-Trifluoroethanol",0.015728245242073398,-3.7346892585637974
2-Methyltetrahydrofuran [2-MeTHF],0.0016667726689031767,-8.224170066689119
Acetonitrile,0.023140996959492184,-2.7712265646524243
Acetonitrile.Acetic Acid,0.025505930266821217,4.157681744868175
Butanone [MEK],0.0044556750682245155,-6.016879081536103
Cyclohexane,0.03829004325877918,-4.202089869035169
"DMA [N,N-Dimethylacetamide]",0.008392602331916788,-5.893177343530706
Decanol,0.005282188052791547,-5.989705620904212
Diethyl Ether [Ether],0.002280914495235075,-6.67650308796442
Dihydrolevoglucosenone (Cyrene),0.010558230176329257,-6.2578521946204155
Dimethyl Carbonate,0.012118032721347248,-3.281202619474645
Ethanol,0.0032432352070292476,-7.468315750602446
Ethyl Acetate,0.002857073649828552,-7.450674925612129
Ethyl Lactate,0.0026810130792811215,-7.33751546990107
"Ethylene Glycol [1,2-Ethanediol]",0.03271269048553905,-1.8946745842234443
IPA [Propan-2-ol],0.002150639886566201,-7.729997769027364
MTBE [tert-Butylmethylether],0.008054442039038196,-6.394300431111461
Methanol,0.0074972369022722005,-6.530111995274655
Methyl Propionate,0.0017192879070603317,-8.279220016371646
THF [Tetrahydrofuran],0.0005741113393704201,-9.20547665630325
"Water.2,2,2-Trifluoroethanol",0.012346064238098305,-5.333127023161144
Water.Acetonitrile,0.015547546306523542,-4.207235476992359
tert-Butanol [2-Methylpropan-2-ol],0.014673511149909188,-4.97724608941688
