Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.04756604564464876,-1.007958061963502
"2,2,2-Trifluoroethanol",0.027299439591125442,-2.6601002801059503
2-Methyltetrahydrofuran [2-MeTHF],0.3079481665510377,0.594926711493106
Acetonitrile,0.0612016965491987,-1.6057599260154298
Acetonitrile.Acetic Acid,0.016660922633747917,-3.7765640939308653
Butanone [MEK],0.012152136018460219,23.02447105004805
Cyclohexane,0.05412339239183295,-1.782735009195799
"DMA [N,N-Dimethylacetamide]",0.13880169983988955,-0.9424560748886587
Decanol,0.03819061669563684,-2.751594914338324
Diethyl Ether [Ether],0.043860971593934595,-3.0457977344495357
Dihydrolevoglucosenone (Cyrene),0.6007525998282911,1.3355741951541928
Dimethyl Carbonate,0.013329432804760724,30.56344571203481
Ethanol,0.0015187707796207642,-7.562220250645877
Ethyl Acetate,0.0012630016411215156,-9.414597705804326
Ethyl Lactate,0.2062209465649505,4.426584288074984
"Ethylene Glycol [1,2-Ethanediol]",0.09785638520665631,-1.6678870648220305
IPA [Propan-2-ol],0.0019384762807277117,-7.466334243036284
MTBE [tert-Butylmethylether],0.014144960614555672,-4.137471308731125
Methanol,0.004742020314356109,-7.003702136104863
Methyl Propionate,0.001671866302289544,2.5645811760914508
THF [Tetrahydrofuran],0.010328403232513973,-3.308581024065389
"Water.2,2,2-Trifluoroethanol",0.029563559750714206,-3.194671985310547
Water.Acetonitrile,0.034291756714523856,-3.1830680623835073
tert-Butanol [2-Methylpropan-2-ol],0.01238032681242985,-4.126238637849357
