Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.046456926606956536,0.1187891865446665
"2,2,2-Trifluoroethanol",0.019749567935075468,23.630590166545446
2-Methyltetrahydrofuran [2-MeTHF],0.05587698424711591,1.7230454989212487
Acetonitrile,0.04701105928486761,317.626303354311
Acetonitrile.Acetic Acid,0.029580322898108895,0.9669058162899514
Butanone [MEK],0.03914262999708985,0.5897554062238614
Cyclohexane,0.008160873788469731,0.17519983416160312
"DMA [N,N-Dimethylacetamide]",0.05660742736029456,1.5693481127330677
Decanol,0.08414029085943585,0.9679877470317094
Diethyl Ether [Ether],0.01152030019357939,1.0103878210603743
Dihydrolevoglucosenone (Cyrene),0.006432957346473905,-1.258651980898187
Dimethyl Carbonate,0.09672796737237664,0.792106807276479
Ethanol,0.013379047841852348,0.19446425367608167
Ethyl Acetate,0.030635302167363362,1.4121882711564708
Ethyl Lactate,0.0834341243214523,1.8885546380185445
"Ethylene Glycol [1,2-Ethanediol]",0.03530203300661558,0.5523866346008545
IPA [Propan-2-ol],0.008179214872295988,0.1063212463205094
MTBE [tert-Butylmethylether],0.05117781289360688,1.8462275529147043
Methanol,0.017649795888303055,-0.9887814865310373
Methyl Propionate,0.054499917222657845,2.0063686200104285
THF [Tetrahydrofuran],0.008931884455062655,0.8982701174749811
"Water.2,2,2-Trifluoroethanol",0.016682284880506208,114.49535463532942
Water.Acetonitrile,0.06169842523805656,680.1134426551898
tert-Butanol [2-Methylpropan-2-ol],0.02143531014286107,0.9056302573028701
