Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.04208901940223137,0.5305870581593565
"2,2,2-Trifluoroethanol",0.019424161684307672,2.5754826479891633
2-Methyltetrahydrofuran [2-MeTHF],0.05585694022350453,1.618130684675027
Acetonitrile,0.05053230396688647,34.391170752459686
Acetonitrile.Acetic Acid,0.029803368210270506,1.9383501840015374
Butanone [MEK],0.03947269154136405,0.8365831311413809
Cyclohexane,0.0064089133294354715,-0.4928022114861654
"DMA [N,N-Dimethylacetamide]",0.05778062497174055,1.7688444958362206
Decanol,0.08557082372319814,1.615455088302879
Diethyl Ether [Ether],0.011195601366341826,1.8337525501934262
Dihydrolevoglucosenone (Cyrene),0.007321038641290973,-0.8509613028501408
Dimethyl Carbonate,0.09793878287890383,1.0137190279307602
Ethanol,0.013807875942945245,-0.8810957893649549
Ethyl Acetate,0.030753766788070045,1.2089936314633565
Ethyl Lactate,0.07774226607161748,1.7599022703621843
"Ethylene Glycol [1,2-Ethanediol]",0.03522473578813714,-0.5249396884782129
IPA [Propan-2-ol],0.007863585803950274,0.6512586058320659
MTBE [tert-Butylmethylether],0.05090325812576486,0.76246667478094
Methanol,0.017792042776419527,-0.444800938353685
Methyl Propionate,0.0544334320014367,1.9194219146549691
THF [Tetrahydrofuran],0.008525144704011205,1.4019872892014182
"Water.2,2,2-Trifluoroethanol",0.01735141227517714,0.08852635132097027
Water.Acetonitrile,0.06251589604596881,55.70049333228737
tert-Butanol [2-Methylpropan-2-ol],0.018308134168693965,-0.7697159281424296
