Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.060998130357884824,0.710606404894848
"2,2,2-Trifluoroethanol",0.019868786016922692,-2.4998148096685355
2-Methyltetrahydrofuran [2-MeTHF],0.048663369504290926,0.6798610442684118
Acetonitrile,0.05183693202533663,85.12135631318084
Acetonitrile.Acetic Acid,0.025934800566512737,0.3963925031011862
Butanone [MEK],0.008243946232351551,-0.40944397136116883
Cyclohexane,0.005433819286387464,0.886109939173785
"DMA [N,N-Dimethylacetamide]",0.020923170839128504,0.36437462389428726
Decanol,0.05373527183772155,0.642094052042649
Diethyl Ether [Ether],0.017394951477452094,1.0657805122782384
Dihydrolevoglucosenone (Cyrene),0.12172994677852965,1.0431641387614603
Dimethyl Carbonate,0.025974820888416475,0.5470825682979207
Ethanol,0.0076772707085986875,-0.32700141866698235
Ethyl Acetate,0.002270053344556069,0.160122949704107
Ethyl Lactate,0.018414870164053007,0.3490472880588102
"Ethylene Glycol [1,2-Ethanediol]",0.03094343966085687,1.748743649488883
IPA [Propan-2-ol],0.014250049251059565,0.2645119867456295
MTBE [tert-Butylmethylether],0.027686245178250444,0.03422767526257984
Methanol,0.018300451439980284,-1.4876562322187556
Methyl Propionate,0.006769243562033075,0.6887959423452309
THF [Tetrahydrofuran],0.011159350118576434,0.33200260415283167
"Water.2,2,2-Trifluoroethanol",0.017557417958001663,-1.8234086420663551
Water.Acetonitrile,0.06149099896333274,95.72298240807791
tert-Butanol [2-Methylpropan-2-ol],0.024061385600489666,0.01549170124582582
