Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.029619052286502873,0.41745847383990614
"2,2,2-Trifluoroethanol",0.016808864319334503,-1.2290735412551999
2-Methyltetrahydrofuran [2-MeTHF],0.004290543391171427,-4.501034839057559
Acetonitrile,0.026879621403796246,-0.6672440184335523
Acetonitrile.Acetic Acid,0.03440778377071629,-1.7896246711628863
Butanone [MEK],0.004762029020229692,-5.943242933743396
Cyclohexane,0.019260002769080978,1.1863497176207627
"DMA [N,N-Dimethylacetamide]",0.014653700544205171,-1.8346405975194928
Decanol,0.00805613012206448,-0.5102559951073278
Diethyl Ether [Ether],0.0023023725575048374,-2.4559179571200267
Dihydrolevoglucosenone (Cyrene),0.01412878163767656,-1.1633945737027604
Dimethyl Carbonate,0.013185672403039974,-3.9809735322721735
Ethanol,0.0037792912217875403,-4.5048065957032835
Ethyl Acetate,0.003146050311233693,-6.020796553951446
Ethyl Lactate,0.009301069913853684,-1.9039264807864802
"Ethylene Glycol [1,2-Ethanediol]",0.04757623850772319,0.08761348603332281
IPA [Propan-2-ol],0.0023039787652431366,-3.6029195780562113
MTBE [tert-Butylmethylether],0.0019334209364520799,-3.712604999056365
Methanol,0.014271946467463725,-1.1766669989248497
Methyl Propionate,0.0036847435570063845,-3.9169785794158756
THF [Tetrahydrofuran],0.0009439193606698446,-5.192978412951263
"Water.2,2,2-Trifluoroethanol",0.00656312365094316,-0.13654065259013662
Water.Acetonitrile,0.008697441534710266,-0.09926601240272825
tert-Butanol [2-Methylpropan-2-ol],0.01592214580628272,-2.2862630550794267
