Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.053219448798652286,0.6248954106231271
"2,2,2-Trifluoroethanol",0.02509106114792559,-2.3158110547187123
2-Methyltetrahydrofuran [2-MeTHF],0.37188775166848576,0.8072001134146939
Acetonitrile,0.06080927809784474,-2.1268428358545255
Acetonitrile.Acetic Acid,0.01727160312246482,-4.477363403480852
Butanone [MEK],0.015027718775874051,2.4788482179059397
Cyclohexane,0.07499200424391282,-1.5938692091281044
"DMA [N,N-Dimethylacetamide]",0.19431737051743786,-0.6899832362504377
Decanol,0.0867870869666969,-2.2310464488834723
Diethyl Ether [Ether],0.048840900451171204,-2.828910358151314
Dihydrolevoglucosenone (Cyrene),0.33102336395942467,0.7031697728072778
Dimethyl Carbonate,0.011201128328652419,0.4575713846054077
Ethanol,0.0014817464353382539,-8.902883594444685
Ethyl Acetate,0.0008640182740000525,-9.09989670902961
Ethyl Lactate,0.1231353896037031,3.99022416824825
"Ethylene Glycol [1,2-Ethanediol]",0.06906473818578755,-2.0590076864873628
IPA [Propan-2-ol],0.0022213003969118236,-7.379151176629652
MTBE [tert-Butylmethylether],0.012058749125889105,-4.077967267944086
Methanol,0.004763284229040641,-5.016391612794303
Methyl Propionate,0.0017882361977979537,-8.471420974449318
THF [Tetrahydrofuran],0.012100690262633761,-3.793614097370882
"Water.2,2,2-Trifluoroethanol",0.0315470334371412,-3.21282356941262
Water.Acetonitrile,0.039026019820272345,-1.9420542203568398
tert-Butanol [2-Methylpropan-2-ol],0.018714219305794588,-4.045107813984459
