Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.04270423902893107,0.7170694698293898
"2,2,2-Trifluoroethanol",0.019508581412247702,0.9737152863002659
2-Methyltetrahydrofuran [2-MeTHF],0.05585161717569355,2.1922953089675823
Acetonitrile,0.052915274596574066,41.43854172273949
Acetonitrile.Acetic Acid,0.029577555589040034,1.0521317403503903
Butanone [MEK],0.03944185104680623,1.7270832678083767
Cyclohexane,0.0072745501295147265,0.5132721859057675
"DMA [N,N-Dimethylacetamide]",0.05704020871737411,2.0452869181614233
Decanol,0.08509937109947213,1.7151558297123588
Diethyl Ether [Ether],0.010827137460254058,1.4763036554345306
Dihydrolevoglucosenone (Cyrene),0.006042668108496426,-1.4006280900131605
Dimethyl Carbonate,0.0969369695023112,1.9520519465019872
Ethanol,0.01362491484648897,-0.2733012490382469
Ethyl Acetate,0.03081960502420021,1.6230881816334828
Ethyl Lactate,0.08257583799646365,1.6872810712495945
"Ethylene Glycol [1,2-Ethanediol]",0.03542827887812918,-0.1207524252660595
IPA [Propan-2-ol],0.0076877483225271095,0.9396410618753273
MTBE [tert-Butylmethylether],0.050252411621625,0.5964604446862503
Methanol,0.017447438953043622,0.687414151342544
Methyl Propionate,0.05451786556106191,2.5731895662690794
THF [Tetrahydrofuran],0.009969141498836308,0.631498199476341
"Water.2,2,2-Trifluoroethanol",0.01639833675408484,2.462622501468477
Water.Acetonitrile,0.062271349010752444,52.18552946027596
tert-Butanol [2-Methylpropan-2-ol],0.020519233032539316,0.9543230701652798
