Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.049521379579184004,1.3383855166111926
"2,2,2-Trifluoroethanol",0.019645088149804268,-1.325409005572503
2-Methyltetrahydrofuran [2-MeTHF],0.03743348763855231,1.2962724978390987
Acetonitrile,0.0464615498554178,71.09865711470928
Acetonitrile.Acetic Acid,0.02833170787395794,0.21872499799506795
Butanone [MEK],0.01071133951405761,1.1846262538130412
Cyclohexane,0.005538317363324034,0.4758386338984998
"DMA [N,N-Dimethylacetamide]",0.019217986958805333,1.1419638833396792
Decanol,0.06758221992686851,0.2167078249042753
Diethyl Ether [Ether],0.0172414059303472,1.1968640985283503
Dihydrolevoglucosenone (Cyrene),0.13752409777033464,1.8710228853989979
Dimethyl Carbonate,0.026765335960377046,0.8615927383276621
Ethanol,0.007246287804522354,-0.02249033861864801
Ethyl Acetate,0.006167883216802594,0.8307388587022525
Ethyl Lactate,0.02968578858447174,2.015082556242883
"Ethylene Glycol [1,2-Ethanediol]",0.0311198175744521,0.774604744457125
IPA [Propan-2-ol],0.014434059367365103,-0.09181965261190485
MTBE [tert-Butylmethylether],0.03693010089065473,1.2730840678660893
Methanol,0.024066539708881982,0.14568785439970405
Methyl Propionate,0.0072227894751382355,-0.6408423759693049
THF [Tetrahydrofuran],0.019022031426713208,-0.023681318616390893
"Water.2,2,2-Trifluoroethanol",0.018635734155563455,-1.3394034929055378
Water.Acetonitrile,0.061937948512500195,100.51555839691238
tert-Butanol [2-Methylpropan-2-ol],0.025194556180447986,1.1017637232574318
