Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.03009813559185814,0.7533779947427839
"2,2,2-Trifluoroethanol",0.016210701563411093,0.2308276328328362
2-Methyltetrahydrofuran [2-MeTHF],0.016771571362582574,-4.460242207673107
Acetonitrile,0.024821761692419973,-1.5765535564874114
Acetonitrile.Acetic Acid,0.0365016135532549,-2.8014939420494067
Butanone [MEK],0.004232432368066235,-4.197995301339573
Cyclohexane,0.01996471343419948,1.1562501709040927
"DMA [N,N-Dimethylacetamide]",0.015228848620497533,-0.9927364170185142
Decanol,0.008984904524155022,-1.1127375568141007
Diethyl Ether [Ether],0.02391046239861963,-2.3007837852011237
Dihydrolevoglucosenone (Cyrene),0.01317455670857333,-1.4321656847711337
Dimethyl Carbonate,0.012010308456029965,-4.514231408246038
Ethanol,0.003933924971346012,-3.6849161929327776
Ethyl Acetate,0.003235796377825493,-7.248158396705711
Ethyl Lactate,0.00877828111159295,-2.511547156184749
"Ethylene Glycol [1,2-Ethanediol]",0.04826731911935537,0.3575088439304403
IPA [Propan-2-ol],0.0022869776476773913,-4.315320164131078
MTBE [tert-Butylmethylether],0.001415824386887306,-3.6030817642376634
Methanol,0.013636740640542846,-1.8311798753778732
Methyl Propionate,0.0034419866207139717,-4.711864164141855
THF [Tetrahydrofuran],0.0008106069935687344,-4.1346291324632265
"Water.2,2,2-Trifluoroethanol",0.007377031874909661,-0.29098794401809464
Water.Acetonitrile,0.008443921703282961,-0.45122766905439715
tert-Butanol [2-Methylpropan-2-ol],0.01647813915952005,-2.2120982524664754
