Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.06257884181412678,
"2,2,2-Trifluoroethanol",0.054108837813961023,
2-Methyltetrahydrofuran [2-MeTHF],0.08991995920876754,
Acetonitrile,0.13669368256170147,
Acetonitrile.Acetic Acid,0.11086290983625251,
Butanone [MEK],0.03462192974230089,
Cyclohexane,0.07745443019220533,
"DMA [N,N-Dimethylacetamide]",0.0769166016577618,
Decanol,0.0704362692299042,
Diethyl Ether [Ether],0.1777037301761342,
Dihydrolevoglucosenone (Cyrene),0.06732715293810038,
Dimethyl Carbonate,0.06180323631864385,
Ethanol,0.07073862774381648,
Ethyl Acetate,0.04167220468866864,
