Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08046803811536192,-2.2866493428692873
"2,2,2-Trifluoroethanol",0.08255097504511412,-2.862472332625068
2-Methyltetrahydrofuran [2-MeTHF],0.0328772272199017,-4.220217610259955
Acetonitrile,0.045157187359126834,-4.087428994364258
Acetonitrile.Acetic Acid,0.08511366264965087,-3.130567072171912
Butanone [MEK],0.014731131711941669,-4.576767196213337
Cyclohexane,0.03959030355870643,-3.8668051082709938
"DMA [N,N-Dimethylacetamide]",0.061238750259358266,-3.666494344459578
Decanol,0.058218364045237815,-3.2666054920403904
Diethyl Ether [Ether],0.044241449078113844,-4.116005243553748
Dihydrolevoglucosenone (Cyrene),0.009998193675616765,-4.949640269632936
Dimethyl Carbonate,0.045293639101618294,-4.213942360823087
Ethanol,0.062423008909545094,-3.2585206483160545
Ethyl Acetate,0.01811818912228337,-4.5597682096910885
Ethyl Lactate,0.009185197091043587,-5.015680971219496
"Ethylene Glycol [1,2-Ethanediol]",0.09396023321500595,-0.9221711477746214
IPA [Propan-2-ol],0.12328012037248344,5.504542089294596
MTBE [tert-Butylmethylether],0.04241536874651751,-4.309896213166006
Methanol,0.06585669809620608,-3.226609843887353
Methyl Propionate,0.018800903293732508,-4.526177556884513
THF [Tetrahydrofuran],0.047295835440129275,-3.678894941566955
"Water.2,2,2-Trifluoroethanol",0.09687990811470461,0.04795527868899722
Water.Acetonitrile,0.10242461580234051,-0.2542877319634363
tert-Butanol [2-Methylpropan-2-ol],0.014375427971857131,-4.799167650519377
