Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.0673251472050133,-2.7568535074412774
"2,2,2-Trifluoroethanol",0.06879723351729644,-3.5288660432606753
2-Methyltetrahydrofuran [2-MeTHF],0.0312376982915962,-4.292368034981578
Acetonitrile,0.046425509346610515,-4.089291781959696
Acetonitrile.Acetic Acid,0.08497898183580087,-3.2712350185667183
Butanone [MEK],0.017720777379466843,-4.602544597158144
Cyclohexane,0.03913253631607977,-3.8273359173110544
"DMA [N,N-Dimethylacetamide]",0.05996085724412223,-3.701615498550049
Decanol,0.06015695159631921,-3.101535302863135
Diethyl Ether [Ether],0.04921598018505699,-4.032961915291646
Dihydrolevoglucosenone (Cyrene),0.008903754383985225,-5.075422851436975
Dimethyl Carbonate,0.04199698193388765,-4.426002456173637
Ethanol,0.06247501323153347,-3.243727912911917
Ethyl Acetate,0.016978013093014048,-4.62873424764618
Ethyl Lactate,0.007310533473294421,-5.079035854139517
"Ethylene Glycol [1,2-Ethanediol]",0.09498651010423592,-0.6976824295364973
IPA [Propan-2-ol],0.11471269661464722,4.701806627328009
MTBE [tert-Butylmethylether],0.04029008467580167,-4.32252756220968
Methanol,0.06694574875214465,-3.189420555987592
Methyl Propionate,0.017322398421534917,-4.554036562344507
THF [Tetrahydrofuran],0.047210414941117114,-3.7088763542978853
"Water.2,2,2-Trifluoroethanol",0.09646732243354461,0.4099828942122941
Water.Acetonitrile,0.10577609225573065,-0.22834739004961224
tert-Butanol [2-Methylpropan-2-ol],0.015362789176187712,-4.75965356020063
