Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.0829763805086933,-2.1859974527528974
"2,2,2-Trifluoroethanol",0.06143623095625677,-3.782787895544769
2-Methyltetrahydrofuran [2-MeTHF],0.03520732558246533,-4.244885205270255
Acetonitrile,0.04706288662577072,-4.000841779592856
Acetonitrile.Acetic Acid,0.08519664712430229,-3.2764964958315272
Butanone [MEK],0.018082819994454827,-4.504337457659741
Cyclohexane,0.03933083632088681,-3.882241316867993
"DMA [N,N-Dimethylacetamide]",0.05603654529483782,-3.760782139432709
Decanol,0.06209012054021863,-2.9354840431528832
Diethyl Ether [Ether],0.04985212990706057,-3.9916540458057015
Dihydrolevoglucosenone (Cyrene),0.006894127253475466,-5.107468601345466
Dimethyl Carbonate,0.03721512681066398,-4.526921077665016
Ethanol,0.06274633301547877,-3.2470709326077736
Ethyl Acetate,0.01962268552471598,-4.480828198088086
Ethyl Lactate,0.007704741711225853,-5.076904524554563
"Ethylene Glycol [1,2-Ethanediol]",0.09418135641181953,-0.7786708414417993
IPA [Propan-2-ol],0.11991230238277624,3.8434503640715674
MTBE [tert-Butylmethylether],0.04029328143942102,-4.312004371832738
Methanol,0.06427752826461787,-3.3517738776096864
Methyl Propionate,0.020664781616442432,-4.42003955225137
THF [Tetrahydrofuran],0.04638951649853861,-3.686700697997488
"Water.2,2,2-Trifluoroethanol",0.09562672543773439,-0.1953379097876957
Water.Acetonitrile,0.10541277535571973,0.18813111600833882
tert-Butanol [2-Methylpropan-2-ol],0.012852160825741372,-4.7576595476133505
