Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.07196207826397581,-2.5005500511398777
"2,2,2-Trifluoroethanol",0.07030436450014556,-3.6020959546390996
2-Methyltetrahydrofuran [2-MeTHF],0.03267524760159253,-4.3391908608496355
Acetonitrile,0.04967761620170468,-3.848281701991498
Acetonitrile.Acetic Acid,0.08503970335556403,-3.2881429641581015
Butanone [MEK],0.017913336195261552,-4.541143564878278
Cyclohexane,0.036111965259722205,-4.005833425367637
"DMA [N,N-Dimethylacetamide]",0.05772949305908893,-3.76730771089019
Decanol,0.05910823369254812,-3.196783776995139
Diethyl Ether [Ether],0.043418666723802485,-4.199866795230329
Dihydrolevoglucosenone (Cyrene),0.007381184644478452,-5.114324771820183
Dimethyl Carbonate,0.045229363329804664,-4.233450863791947
Ethanol,0.062445457234518886,-3.261715849541743
Ethyl Acetate,0.01691117568551912,-4.612333092631684
Ethyl Lactate,0.007723108794847188,-5.083617991774225
"Ethylene Glycol [1,2-Ethanediol]",0.09269935989650824,-0.6384823344042511
IPA [Propan-2-ol],0.1278628805226024,6.096301833344703
MTBE [tert-Butylmethylether],0.03947225089189169,-4.418562400194253
Methanol,0.06823324943886576,-3.161955657446002
Methyl Propionate,0.014765564802205679,-4.7469196973787104
THF [Tetrahydrofuran],0.04758861782958849,-3.669248739223155
"Water.2,2,2-Trifluoroethanol",0.09381189862061799,-0.15777343716437672
Water.Acetonitrile,0.10629924929917642,0.2523184846786017
tert-Butanol [2-Methylpropan-2-ol],0.014458980608008203,-4.7850026816606945
