Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.07052107521208793,
"2,2,2-Trifluoroethanol",0.05349154285849352,
2-Methyltetrahydrofuran [2-MeTHF],0.05660779388063979,
Acetonitrile,0.04009827319507775,
Acetonitrile.Acetic Acid,0.09302792495857225,
Butanone [MEK],0.006164937830054663,
Cyclohexane,0.047374850717400246,
"DMA [N,N-Dimethylacetamide]",0.07047072245706262,
Decanol,0.09086397787899261,
Diethyl Ether [Ether],0.005390180608694135,
Dihydrolevoglucosenone (Cyrene),0.4369749777142532,
Dimethyl Carbonate,0.030159351117990237,
Ethanol,0.061165880867118265,
Ethyl Acetate,0.004804855447109253,
Ethyl Lactate,0.05821409918465939,
"Ethylene Glycol [1,2-Ethanediol]",0.10522852544424027,
IPA [Propan-2-ol],0.06575653822225103,
MTBE [tert-Butylmethylether],0.037073703943009226,
Methanol,0.04559242852747418,
Methyl Propionate,0.006662706990415844,
THF [Tetrahydrofuran],0.021463092886310375,
"Water.2,2,2-Trifluoroethanol",0.05852962569029427,
Water.Acetonitrile,0.07996751029420997,
tert-Butanol [2-Methylpropan-2-ol],0.06252736384185555,
