Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.15093278910712313,
"2,2,2-Trifluoroethanol",0.01922299786585531,
2-Methyltetrahydrofuran [2-MeTHF],0.04022620063203993,
Acetonitrile,0.04630087733976855,
Acetonitrile.Acetic Acid,0.038255402930321966,
Butanone [MEK],0.00628209528799465,
Cyclohexane,0.0026065351315857493,
"DMA [N,N-Dimethylacetamide]",0.01657703425876372,
Decanol,0.02536149443993673,
Diethyl Ether [Ether],0.008335873269623137,
Dihydrolevoglucosenone (Cyrene),0.12188699278384833,
Dimethyl Carbonate,0.002093918666234802,
Ethanol,0.007382469545592785,
Ethyl Acetate,0.010136667653060653,
Ethyl Lactate,0.015185567942427156,
"Ethylene Glycol [1,2-Ethanediol]",0.027587344894210008,
IPA [Propan-2-ol],0.02446336077346407,
MTBE [tert-Butylmethylether],0.0018819998268956748,
Methanol,0.013881349636406578,
Methyl Propionate,0.005858319585352507,
THF [Tetrahydrofuran],0.009479122110589683,
"Water.2,2,2-Trifluoroethanol",0.0168604744537596,
Water.Acetonitrile,0.05839549040504176,
tert-Butanol [2-Methylpropan-2-ol],0.004396950719267535,
