Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08922875800858163,
"2,2,2-Trifluoroethanol",0.017840442915549655,
2-Methyltetrahydrofuran [2-MeTHF],0.003022005435708258,
Acetonitrile,0.04787811553808966,
Acetonitrile.Acetic Acid,0.025908367298748788,
Butanone [MEK],0.0106417558231117,
Cyclohexane,0.007449298807253499,
"DMA [N,N-Dimethylacetamide]",0.009408783477445322,
Decanol,0.013010714203227969,
Diethyl Ether [Ether],0.016842844479337662,
Dihydrolevoglucosenone (Cyrene),0.009259283790060828,
Dimethyl Carbonate,0.03150909444161964,
Ethanol,0.005287045161639643,
Ethyl Acetate,0.0014288453451743151,
Ethyl Lactate,0.010192881457480056,
"Ethylene Glycol [1,2-Ethanediol]",0.03321662951044583,
IPA [Propan-2-ol],0.014665119266538478,
MTBE [tert-Butylmethylether],0.01012224932316725,
Methanol,0.00984434432642872,
Methyl Propionate,0.0008147198472673249,
THF [Tetrahydrofuran],0.001688511349574693,
"Water.2,2,2-Trifluoroethanol",0.015357457509858495,
Water.Acetonitrile,0.0641402665890509,
tert-Butanol [2-Methylpropan-2-ol],0.008245780273468636,
