Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.033553501083190364,
"2,2,2-Trifluoroethanol",0.018080691400150294,
2-Methyltetrahydrofuran [2-MeTHF],0.0022022107821000536,
Acetonitrile,0.04380655965724172,
Acetonitrile.Acetic Acid,0.025495266823515206,
Butanone [MEK],0.0036501196962137657,
Cyclohexane,0.005992783401020055,
"DMA [N,N-Dimethylacetamide]",0.005723626390164956,
Decanol,0.015804081847712852,
Diethyl Ether [Ether],0.020960741515556155,
Dihydrolevoglucosenone (Cyrene),0.0032648728967128848,
Dimethyl Carbonate,0.0077970399436421796,
Ethanol,0.002624437099035841,
Ethyl Acetate,0.0005291551027367273,
Ethyl Lactate,0.0056715835918428525,
"Ethylene Glycol [1,2-Ethanediol]",0.024600088908802463,
IPA [Propan-2-ol],0.012746619379984886,
MTBE [tert-Butylmethylether],0.003651287973238509,
Methanol,0.00320889378988936,
Methyl Propionate,0.0012503809189506588,
THF [Tetrahydrofuran],0.0015720496629484841,
"Water.2,2,2-Trifluoroethanol",0.015950840636695728,
Water.Acetonitrile,0.06227458547244312,
tert-Butanol [2-Methylpropan-2-ol],0.013551113227434238,
