Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.07839412257278768,
"2,2,2-Trifluoroethanol",0.06293363672175288,
2-Methyltetrahydrofuran [2-MeTHF],0.05979010782111784,
Acetonitrile,0.09353998214532715,
Acetonitrile.Acetic Acid,0.07779613210855983,
Butanone [MEK],0.03858215533908392,
Cyclohexane,0.04522461640009908,
"DMA [N,N-Dimethylacetamide]",0.07313614978338072,
Decanol,0.07250667811090654,
Diethyl Ether [Ether],0.0840175540909352,
Dihydrolevoglucosenone (Cyrene),0.0296494861266258,
Dimethyl Carbonate,0.08669191723206704,
Ethanol,0.058077793625515135,
Ethyl Acetate,0.04749062215104208,
Ethyl Lactate,0.037521203473894094,
"Ethylene Glycol [1,2-Ethanediol]",0.09701698161330251,
IPA [Propan-2-ol],0.09460654115344036,
MTBE [tert-Butylmethylether],0.08686055740881161,
Methanol,0.05517375304281317,
Methyl Propionate,0.04205533690218865,
THF [Tetrahydrofuran],0.07745685211880403,
"Water.2,2,2-Trifluoroethanol",0.06837902697311066,
Water.Acetonitrile,0.08517621878244683,
tert-Butanol [2-Methylpropan-2-ol],0.0527546450367892,
