Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.09887059320112897,
"2,2,2-Trifluoroethanol",0.10876934546535123,
2-Methyltetrahydrofuran [2-MeTHF],0.05180316607445141,
Acetonitrile,0.07145985566326044,
Acetonitrile.Acetic Acid,0.13631400742182043,
Butanone [MEK],0.0067956551815900055,
Cyclohexane,0.005408555276851639,
"DMA [N,N-Dimethylacetamide]",0.07239070749722565,
Decanol,0.10090711796809788,
Diethyl Ether [Ether],0.02579645211332133,
Dihydrolevoglucosenone (Cyrene),0.009434878450209298,
Dimethyl Carbonate,0.0019396295076801492,
Ethanol,0.08820193848069494,
Ethyl Acetate,0.003352027369848576,
Ethyl Lactate,0.0018309147558508076,
"Ethylene Glycol [1,2-Ethanediol]",0.1352092721006456,
IPA [Propan-2-ol],0.18243557066664529,
MTBE [tert-Butylmethylether],0.0004915191720832763,
Methanol,0.08311534760416502,
Methyl Propionate,0.003263316091074747,
THF [Tetrahydrofuran],0.05185106529905505,
"Water.2,2,2-Trifluoroethanol",0.13212385625844847,
Water.Acetonitrile,0.12565233188420633,
