Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08929543700235705,-1.979237664709037
"2,2,2-Trifluoroethanol",0.0628702698876797,-2.186980045359603
2-Methyltetrahydrofuran [2-MeTHF],0.07399852980346623,-2.343897610404084
Acetonitrile,0.009261604430081019,-3.2129376507535463
Acetonitrile.Acetic Acid,0.1590644927875039,-0.22228751206747563
Butanone [MEK],0.02215792829395321,0.03323689238771132
Cyclohexane,0.041575413232713354,-2.011954479716491
"DMA [N,N-Dimethylacetamide]",0.054483627162825135,-2.1868836345244707
Decanol,0.05652539783678914,0.08478809393801572
Diethyl Ether [Ether],0.004194017475415407,-3.3154834252115513
Dihydrolevoglucosenone (Cyrene),0.028592857126449614,0.04288928568798469
Dimethyl Carbonate,0.06198860956109534,-2.178440664647301
Ethanol,0.05631471327980076,-2.177098216451708
Ethyl Acetate,0.027426950709655996,-2.3178435991070763
Ethyl Lactate,0.34256199429958695,-0.2061018873282691
"Ethylene Glycol [1,2-Ethanediol]",0.36863767547287396,-0.041716020580295735
IPA [Propan-2-ol],0.08994315707579477,-1.904996056385436
MTBE [tert-Butylmethylether],0.4152261028588928,0.2546551267117552
Methanol,0.04515095256821145,0.06772635697127886
Methyl Propionate,0.030419639313011306,-0.40870072229850574
THF [Tetrahydrofuran],1.4448173287619972,2.0587668949362845
"Water.2,2,2-Trifluoroethanol",0.07156470931292878,-2.1051252654870978
Water.Acetonitrile,0.0907347288908307,-1.9329368110988632
tert-Butanol [2-Methylpropan-2-ol],0.02852369798136153,0.04254176399666257
