Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.0882949782345527,-1.9790282083540454
"2,2,2-Trifluoroethanol",0.06287026988767977,-2.186980045359723
2-Methyltetrahydrofuran [2-MeTHF],0.039413027602406295,-2.261687515067329
Acetonitrile,0.26794259996141756,-0.2801755278785263
Acetonitrile.Acetic Acid,0.2827231624391484,-0.11322625524995415
Butanone [MEK],0.020688653735345102,-2.353519162101397
Cyclohexane,0.03704386329428342,-2.2769461779651516
"DMA [N,N-Dimethylacetamide]",0.05448362811214854,-2.2040511912688983
Decanol,0.06610081690835394,-2.1192198064808694
Diethyl Ether [Ether],0.05345483354646058,-2.2184885462715043
Dihydrolevoglucosenone (Cyrene),0.026537627295699282,-2.340748175152286
Dimethyl Carbonate,0.06198860336891957,-2.1784407025694463
Ethanol,0.056301102868025865,-2.177273267189505
Ethyl Acetate,0.25604994602354364,-0.26664773881938825
Ethyl Lactate,1.080262592799805,1.5729471171008427
"Ethylene Glycol [1,2-Ethanediol]",0.0979576340000101,-1.824172089553972
IPA [Propan-2-ol],0.08993808914563761,-1.9050338860054419
MTBE [tert-Butylmethylether],0.06636323462600842,-2.065849559878444
Methanol,0.05165804365337929,-2.218251774706593
Methyl Propionate,0.03042052644599094,-2.2920084883689995
THF [Tetrahydrofuran],0.04689316823965808,-2.2096411469392243
"Water.2,2,2-Trifluoroethanol",0.07251062777677754,0.10876594166516633
Water.Acetonitrile,0.3935971757182737,0.023663082917410826
tert-Butanol [2-Methylpropan-2-ol],0.02893380103180964,-2.3164711259460966
