Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08829500921155314,-1.9790286229131233
"2,2,2-Trifluoroethanol",0.06287026983492061,-2.1869800453385126
2-Methyltetrahydrofuran [2-MeTHF],0.039388962947551134,-2.2619946209917208
Acetonitrile,0.058652413515505854,-2.1889082982006483
Acetonitrile.Acetic Acid,0.4029660659904519,0.24175938901674365
Butanone [MEK],0.02102130813828141,-2.344338193241461
Cyclohexane,0.03704377182831731,-2.268715463453193
"DMA [N,N-Dimethylacetamide]",0.054433984709826716,-2.1979235127298615
Decanol,0.06610094972214647,-2.1192186724979676
Diethyl Ether [Ether],0.05345482283029921,-2.218488285811118
Dihydrolevoglucosenone (Cyrene),0.4816565117495128,0.2647154919866989
Dimethyl Carbonate,0.061988448956224414,-2.1784423541818625
Ethanol,0.056308580886932684,-2.17695660854305
Ethyl Acetate,0.027410674550358147,-2.3179261121159143
Ethyl Lactate,0.6174870773977919,0.7956857504565713
"Ethylene Glycol [1,2-Ethanediol]",0.3379238495097178,-0.127650603195846
IPA [Propan-2-ol],0.09050973800925721,-1.9102449219577329
MTBE [tert-Butylmethylether],0.06214783215295416,-2.1744400468938485
Methanol,0.0516580424843217,-2.218251757761172
Methyl Propionate,0.01677931161506029,0.0251689674225902
THF [Tetrahydrofuran],0.0728170428081885,0.10922556420210716
"Water.2,2,2-Trifluoroethanol",0.07156470931292881,-2.105125375724976
Water.Acetonitrile,0.3751311575039273,-0.029741973238291686
tert-Butanol [2-Methylpropan-2-ol],0.028927192951649368,-2.31647733873788
