Test solvent,mse,nlpd
"1,1,1,3,3,3-Hexafluoropropan-2-ol",0.08829497823455269,-1.9790282083540771
"2,2,2-Trifluoroethanol",0.055242557398984364,0.08286027504084195
2-Methyltetrahydrofuran [2-MeTHF],0.036460167094621986,0.054690250641932996
Acetonitrile,0.06098447541765326,0.09147671288291877
Acetonitrile.Acetic Acid,0.07581388033481354,-1.9506994816875836
Butanone [MEK],0.02082281897609839,-2.3444918494766065
Cyclohexane,0.19117915298266705,0.2867687294739215
"DMA [N,N-Dimethylacetamide]",0.05448661984418609,-2.2041304836374294
Decanol,0.06975428314815511,0.10463127350036051
Diethyl Ether [Ether],0.02101857771973693,-3.0801050675942014
Dihydrolevoglucosenone (Cyrene),0.026537627322161375,-2.3406657186318913
Dimethyl Carbonate,0.003500132023733287,-3.4001165437356513
Ethanol,0.05630110046734229,-2.177273116827756
Ethyl Acetate,0.01632168400274929,0.024482526004123928
Ethyl Lactate,0.004517223997011531,-3.379670172296557
"Ethylene Glycol [1,2-Ethanediol]",0.09795554859641943,-1.8245765365614566
IPA [Propan-2-ol],0.08909257365080997,0.1336371108044641
MTBE [tert-Butylmethylether],0.58125382849235,0.5059977479164478
Methanol,0.05165804370742353,-2.2182517835995683
Methyl Propionate,0.03041752015067425,-2.292021060985943
THF [Tetrahydrofuran],0.39056796622864304,0.056168047988557866
"Water.2,2,2-Trifluoroethanol",0.07156470809656089,-2.1051254006592255
Water.Acetonitrile,0.02302180096229766,-3.065471271007838
tert-Butanol [2-Methylpropan-2-ol],0.02893380103074046,-2.31647111116857
